AREA_TITLE,OCC_TITLE,H_MEDIAN,A_MEDIAN
California,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",18.26,"37,970"
California,Maids and Housekeeping Cleaners,18.69,"38,860"
California,"Building Cleaning Workers, All Other",18.79,"39,080"
California,Pest Control Workers,21.56,"44,840"
California,Landscaping and Groundskeeping Workers,19.62,"40,800"
California,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",21.11,"43,910"
California,Tree Trimmers and Pruners,29.76,"61,910"
California,"Grounds Maintenance Workers, All Other",22.84,"47,500"
California,Personal Care and Service Occupations,17.78,"36,980"
California,First-Line Supervisors of Gambling Services Workers,30.93,"64,340"
California,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",22.47,"46,730"
California,First-Line Supervisors of Personal Service Workers,24.41,"50,760"
California,Animal Trainers,21.12,"43,920"
California,Animal Caretakers,17.55,"36,490"
California,Gambling Dealers,15.86,"32,990"
California,Gambling and Sports Book Writers and Runners,17.47,"36,330"
California,"Gambling Service Workers, All Other",17.24,"35,850"
California,Motion Picture Projectionists,55.24,"114,910"
California,"Ushers, Lobby Attendants, and Ticket Takers",16.70,"34,740"
California,Amusement and Recreation Attendants,17.03,"35,430"
California,Costume Attendants,34.01,"70,740"
California,"Locker Room, Coatroom, and Dressing Room Attendants",19.07,"39,670"
California,"Entertainment Attendants and Related Workers, All Other",17.16,"35,690"
California,Embalmers,29.77,"61,910"
California,Crematory Operators,22.52,"46,840"
California,Funeral Attendants,18.98,"39,470"
California,"Morticians, Undertakers, and Funeral Arrangers",22.17,"46,120"
California,Barbers,17.29,"35,970"
California,"Hairdressers, Hairstylists, and Cosmetologists",17.87,"37,170"
California,"Makeup Artists, Theatrical and Performance",48.76,"101,420"
California,Manicurists and Pedicurists,16.62,"34,570"
California,Shampooers,17.25,"35,880"
California,Skincare Specialists,20.57,"42,780"
California,Baggage Porters and Bellhops,18.42,"38,310"
California,Concierges,19.54,"40,650"
California,Tour and Travel Guides,19.20,"39,930"
California,Childcare Workers,17.92,"37,270"
California,Exercise Trainers and Group Fitness Instructors,26.85,"55,840"
California,Recreation Workers,17.74,"36,900"
California,Residential Advisors,21.34,"44,390"
California,"Personal Care and Service Workers, All Other",18.58,"38,640"
California,Sales and Related Occupations,20.01,"41,620"
California,First-Line Supervisors of Retail Sales Workers,23.15,"48,140"
California,First-Line Supervisors of Non-Retail Sales Workers,40.86,"84,980"
California,Cashiers,16.92,"35,200"
California,Gambling Change Persons and Booth Cashiers,18.37,"38,220"
California,Counter and Rental Clerks,19.65,"40,870"
California,Parts Salespersons,18.74,"38,970"
California,Retail Salespersons,17.43,"36,240"
California,Advertising Sales Agents,30.46,"63,350"
California,Insurance Sales Agents,30.48,"63,400"
California,"Securities, Commodities, and Financial Services Sales Agents",36.65,"76,230"
California,Travel Agents,24.42,"50,790"
California,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",36.65,"76,230"
California,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",59.58,"123,930"
California,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",34.90,"72,580"
California,Demonstrators and Product Promoters,20.19,"42,000"
California,Models,23.12,"48,080"
California,Real Estate Brokers,36.27,"75,430"
California,Real Estate Sales Agents,30.17,"62,760"
California,Sales Engineers,63.97,"133,060"
California,Telemarketers,17.80,"37,020"
California,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",16.57,"34,470"
California,"Sales and Related Workers, All Other",24.35,"50,640"
California,Office and Administrative Support Occupations,23.77,"49,450"
California,First-Line Supervisors of Office and Administrative Support Workers,34.28,"71,300"
California,"Switchboard Operators, Including Answering Service",22.66,"47,130"
California,Telephone Operators,26.51,"55,140"
California,"Communications Equipment Operators, All Other",36.50,"75,910"
California,Bill and Account Collectors,23.28,"48,420"
California,Billing and Posting Clerks,24.19,"50,320"
California,"Bookkeeping, Accounting, and Auditing Clerks",25.95,"53,980"
California,Gambling Cage Workers,18.74,"38,990"
California,Payroll and Timekeeping Clerks,28.93,"60,170"
California,Procurement Clerks,24.37,"50,680"
California,Tellers,21.26,"44,210"
California,"Financial Clerks, All Other",25.29,"52,600"
California,Brokerage Clerks,30.94,"64,350"
California,Correspondence Clerks,22.36,"46,520"
California,"Court, Municipal, and License Clerks",28.51,"59,310"
California,"Credit Authorizers, Checkers, and Clerks",21.29,"44,280"
California,Customer Service Representatives,22.15,"46,070"
California,"Eligibility Interviewers, Government Programs",29.35,"61,050"
California,File Clerks,20.72,"43,090"
California,"Hotel, Motel, and Resort Desk Clerks",17.96,"37,360"
California,"Interviewers, Except Eligibility and Loan",23.47,"48,810"
California,"Library Assistants, Clerical",22.28,"46,340"
California,Loan Interviewers and Clerks,24.15,"50,240"
California,New Accounts Clerks,23.59,"49,060"
California,Order Clerks,21.30,"44,300"
California,"Human Resources Assistants, Except Payroll and Timekeeping",25.24,"52,500"
California,Receptionists and Information Clerks,18.95,"39,410"
California,Reservation and Transportation Ticket Agents and Travel Clerks,19.85,"41,290"
California,"Information and Record Clerks, All Other",25.66,"53,360"
California,Cargo and Freight Agents,24.74,"51,450"
California,Couriers and Messengers,19.74,"41,050"
California,Public Safety Telecommunicators,36.09,"75,070"
California,"Dispatchers, Except Police, Fire, and Ambulance",23.80,"49,500"
California,"Meter Readers, Utilities",32.84,"68,300"
California,Postal Service Clerks,29.62,"61,610"
California,Postal Service Mail Carriers,29.06,"60,440"
California,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",26.34,"54,790"
California,"Production, Planning, and Expediting Clerks",28.93,"60,180"
California,"Shipping, Receiving, and Inventory Clerks",20.40,"42,440"
California,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",21.53,"44,770"
California,Executive Secretaries and Executive Administrative Assistants,38.87,"80,840"
California,Legal Secretaries and Administrative Assistants,28.88,"60,060"
California,Medical Secretaries and Administrative Assistants,23.33,"48,530"
California,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",24.14,"50,220"
California,Data Entry Keyers,22.43,"46,660"
California,Word Processors and Typists,25.49,"53,020"
California,Desktop Publishers,33.12,"68,880"
California,Insurance Claims and Policy Processing Clerks,22.87,"47,580"
California,"Mail Clerks and Mail Machine Operators, Except Postal Service",19.88,"41,360"
California,"Office Clerks, General",22.18,"46,130"
California,"Office Machine Operators, Except Computer",21.88,"45,510"
California,Proofreaders and Copy Markers,31.78,"66,110"
California,Statistical Assistants,35.64,"74,140"
California,"Office and Administrative Support Workers, All Other",23.00,"47,840"
California,"Farming, Fishing, and Forestry Occupations",16.84,"35,020"
California,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",27.43,"57,060"
California,Agricultural Inspectors,22.73,"47,280"
California,Animal Breeders,23.30,"48,460"
California,"Graders and Sorters, Agricultural Products",16.62,"34,560"
California,Agricultural Equipment Operators,17.90,"37,220"
California,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",16.67,"34,670"
California,"Farmworkers, Farm, Ranch, and Aquacultural Animals",19.00,"39,510"
California,"Agricultural Workers, All Other",23.97,"49,860"
California,Forest and Conservation Workers,15.00,"31,200"
California,Fallers,35.01,"72,810"
California,Logging Equipment Operators,29.02,"60,360"
California,Log Graders and Scalers,23.82,"49,550"
California,"Logging Workers, All Other",19.52,"40,600"
California,Construction and Extraction Occupations,31.08,"64,640"
California,First-Line Supervisors of Construction Trades and Extraction Workers,44.26,"92,060"
California,Boilermakers,53.52,"111,320"
California,Brickmasons and Blockmasons,32.31,"67,200"
California,Stonemasons,30.46,"63,350"
California,Carpenters,32.87,"68,380"
California,Carpet Installers,25.79,"53,640"
California,"Floor Layers, Except Carpet, Wood, and Hard Tiles",28.57,"59,430"
California,Floor Sanders and Finishers,31.61,"65,750"
California,Tile and Stone Setters,27.99,"58,220"
California,Cement Masons and Concrete Finishers,29.89,"62,160"
California,Terrazzo Workers and Finishers,18.75,"39,010"
California,Construction Laborers,27.27,"56,720"
California,"Paving, Surfacing, and Tamping Equipment Operators",36.94,"76,840"
California,Pile Driver Operators,50.42,"104,870"
California,Operating Engineers and Other Construction Equipment Operators,39.59,"82,350"
California,Drywall and Ceiling Tile Installers,30.96,"64,390"
California,Tapers,33.10,"68,840"
California,Electricians,37.25,"77,470"
California,Glaziers,29.75,"61,880"
California,"Insulation Workers, Floor, Ceiling, and Wall",28.88,"60,080"
California,"Insulation Workers, Mechanical",50.31,"104,640"
California,"Painters, Construction and Maintenance",27.69,"57,590"
California,Paperhangers,26.66,"55,450"
California,Pipelayers,36.97,"76,900"
California,"Plumbers, Pipefitters, and Steamfitters",30.28,"62,990"
California,Plasterers and Stucco Masons,29.42,"61,190"
California,Reinforcing Iron and Rebar Workers,29.54,"61,440"
California,Roofers,30.43,"63,290"
California,Sheet Metal Workers,36.95,"76,860"
California,Structural Iron and Steel Workers,36.90,"76,760"
California,Solar Photovoltaic Installers,25.57,"53,190"
California,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",22.45,"46,700"
California,Helpers--Carpenters,22.17,"46,110"
California,Helpers--Electricians,19.07,"39,670"
California,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",21.73,"45,190"
California,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",21.24,"44,170"
California,Helpers--Roofers,24.31,"50,560"
California,"Helpers, Construction Trades, All Other",22.44,"46,660"
California,Construction and Building Inspectors,47.00,"97,750"
California,Elevator and Escalator Installers and Repairers,64.58,"134,320"
California,Fence Erectors,21.63,"44,990"
California,Hazardous Materials Removal Workers,23.37,"48,600"
California,Highway Maintenance Workers,26.69,"55,520"
California,Rail-Track Laying and Maintenance Equipment Operators,37.14,"77,240"
California,Septic Tank Servicers and Sewer Pipe Cleaners,22.64,"47,100"
California,Miscellaneous Construction and Related Workers,30.72,"63,890"
California,"Derrick Operators, Oil and Gas",28.08,"58,400"
California,"Rotary Drill Operators, Oil and Gas",32.77,"68,160"
California,"Service Unit Operators, Oil and Gas",28.64,"59,560"
California,"Excavating and Loading Machine and Dragline Operators, Surface Mining",31.03,"64,550"
California,"Earth Drillers, Except Oil and Gas",28.76,"59,820"
California,"Explosives Workers, Ordnance Handling Experts, and Blasters",37.03,"77,010"
California,Continuous Mining Machine Operators,29.29,"60,910"
California,"Rock Splitters, Quarry",27.90,"58,030"
California,"Roustabouts, Oil and Gas",28.15,"58,550"
California,Helpers--Extraction Workers,27.88,"58,000"
California,"Extraction Workers, All Other",22.50,"46,800"
California,"Installation, Maintenance, and Repair Occupations",29.64,"61,650"
California,"First-Line Supervisors of Mechanics, Installers, and Repairers",40.14,"83,490"
California,"Computer, Automated Teller, and Office Machine Repairers",23.89,"49,680"
California,"Radio, Cellular, and Tower Equipment Installers and Repairers",39.79,"82,760"
California,"Telecommunications Equipment Installers and Repairers, Except Line Installers",34.19,"71,110"
California,Avionics Technicians,41.02,"85,320"
California,"Electric Motor, Power Tool, and Related Repairers",29.31,"60,960"
California,"Electrical and Electronics Installers and Repairers, Transportation Equipment",39.37,"81,890"
California,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",32.90,"68,440"
California,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",54.35,"113,050"
California,"Electronic Equipment Installers and Repairers, Motor Vehicles",22.35,"46,490"
California,Audiovisual Equipment Installers and Repairers,29.64,"61,650"
California,Security and Fire Alarm Systems Installers,30.12,"62,640"
California,Aircraft Mechanics and Service Technicians,38.59,"80,280"
California,Automotive Body and Related Repairers,28.09,"58,420"
California,Automotive Glass Installers and Repairers,22.62,"47,050"
California,Automotive Service Technicians and Mechanics,29.62,"61,610"
California,Bus and Truck Mechanics and Diesel Engine Specialists,33.16,"68,970"
California,Farm Equipment Mechanics and Service Technicians,24.36,"50,680"
California,"Mobile Heavy Equipment Mechanics, Except Engines",35.97,"74,820"
California,Rail Car Repairers,30.23,"62,880"
California,Motorboat Mechanics and Service Technicians,29.42,"61,190"
California,Motorcycle Mechanics,24.33,"50,600"
California,Outdoor Power Equipment and Other Small Engine Mechanics,22.25,"46,280"
California,Bicycle Repairers,21.69,"45,110"
California,Recreational Vehicle Service Technicians,29.19,"60,720"
California,Tire Repairers and Changers,17.93,"37,300"
California,Mechanical Door Repairers,28.07,"58,380"
California,"Control and Valve Installers and Repairers, Except Mechanical Door",45.17,"93,960"
California,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",29.92,"62,230"
California,Home Appliance Repairers,22.65,"47,110"
California,Industrial Machinery Mechanics,32.05,"66,670"
California,"Maintenance Workers, Machinery",29.90,"62,190"
California,Millwrights,31.16,"64,800"
California,Electrical Power-Line Installers and Repairers,54.04,"112,410"
California,Telecommunications Line Installers and Repairers,39.72,"82,620"
California,Camera and Photographic Equipment Repairers,22.40,"46,600"
California,Medical Equipment Repairers,32.12,"66,810"
California,Musical Instrument Repairers and Tuners,21.47,"44,660"
California,Watch and Clock Repairers,26.00,"54,070"
California,"Precision Instrument and Equipment Repairers, All Other",31.52,"65,570"
California,"Maintenance and Repair Workers, General",24.48,"50,920"
California,Wind Turbine Service Technicians,35.55,"73,940"
California,"Coin, Vending, and Amusement Machine Servicers and Repairers",22.85,"47,520"
California,Commercial Divers,55.72,"115,890"
California,Locksmiths and Safe Repairers,28.65,"59,590"
California,Manufactured Building and Mobile Home Installers,23.59,"49,070"
California,Riggers,40.57,"84,390"
California,Signal and Track Switch Repairers,44.70,"92,970"
California,"Helpers--Installation, Maintenance, and Repair Workers",18.50,"38,470"
California,"Installation, Maintenance, and Repair Workers, All Other",22.98,"47,800"
California,Production Occupations,21.85,"45,450"
California,First-Line Supervisors of Production and Operating Workers,35.73,"74,310"
California,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",28.28,"58,810"
California,"Coil Winders, Tapers, and Finishers",19.97,"41,530"
California,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",22.09,"45,940"
California,Engine and Other Machine Assemblers,22.88,"47,600"
California,Structural Metal Fabricators and Fitters,25.42,"52,870"
California,Fiberglass Laminators and Fabricators,24.32,"50,580"
California,Miscellaneous Assemblers and Fabricators,21.30,"44,300"
California,Bakers,18.13,"37,700"
California,Butchers and Meat Cutters,19.17,"39,870"
California,"Meat, Poultry, and Fish Cutters and Trimmers",17.31,"36,000"
California,Slaughterers and Meat Packers,17.70,"36,810"
California,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",19.51,"40,570"
California,Food Batchmakers,18.45,"38,380"
California,Food Cooking Machine Operators and Tenders,18.74,"38,980"
California,"Food Processing Workers, All Other",17.97,"37,380"
California,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",21.13,"43,950"
California,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",25.01,"52,020"
California,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",22.30,"46,390"
California,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",22.06,"45,890"
California,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",22.60,"47,000"
California,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",20.52,"42,680"
California,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",23.33,"48,530"
California,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",24.66,"51,290"
California,Machinists,28.24,"58,740"
California,Metal-Refining Furnace Operators and Tenders,23.13,"48,120"
California,"Pourers and Casters, Metal",19.24,"40,030"
California,"Model Makers, Metal and Plastic",35.56,"73,960"
California,"Patternmakers, Metal and Plastic",29.96,"62,320"
California,Foundry Mold and Coremakers,18.63,"38,750"
California,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",21.46,"44,640"
California,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",19.85,"41,280"
California,Tool and Die Makers,31.77,"66,090"
California,"Welders, Cutters, Solderers, and Brazers",26.97,"56,100"
California,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",22.19,"46,160"
California,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",23.04,"47,920"
California,"Layout Workers, Metal and Plastic",30.97,"64,410"
California,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",21.52,"44,760"
California,"Tool Grinders, Filers, and Sharpeners",23.55,"48,990"
California,"Metal Workers and Plastic Workers, All Other",19.97,"41,530"
California,Prepress Technicians and Workers,23.13,"48,110"
California,Printing Press Operators,21.28,"44,260"
California,Print Binding and Finishing Workers,19.93,"41,450"
California,Laundry and Dry-Cleaning Workers,17.50,"36,400"
California,"Pressers, Textile, Garment, and Related Materials",17.40,"36,190"
California,Sewing Machine Operators,16.77,"34,890"
California,Shoe and Leather Workers and Repairers,17.92,"37,260"
California,Shoe Machine Operators and Tenders,20.89,"43,450"
California,"Sewers, Hand",16.48,"34,270"
California,"Tailors, Dressmakers, and Custom Sewers",21.68,"45,090"
California,Textile Bleaching and Dyeing Machine Operators and Tenders,17.06,"35,480"
California,"Textile Cutting Machine Setters, Operators, and Tenders",17.91,"37,250"
California,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",17.01,"35,370"
California,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",17.24,"35,850"
California,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",23.08,"48,010"
California,Fabric and Apparel Patternmakers,35.37,"73,580"
California,Upholsterers,22.20,"46,180"
California,"Textile, Apparel, and Furnishings Workers, All Other",17.32,"36,030"
California,Cabinetmakers and Bench Carpenters,22.48,"46,760"
California,Furniture Finishers,22.14,"46,060"
California,"Sawing Machine Setters, Operators, and Tenders, Wood",20.99,"43,660"
California,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",20.36,"42,360"
California,"Woodworkers, All Other",19.27,"40,090"
California,Power Distributors and Dispatchers,52.76,"109,740"
California,Power Plant Operators,47.10,"97,970"
California,Stationary Engineers and Boiler Operators,27.94,"58,120"
California,Water and Wastewater Treatment Plant and System Operators,38.04,"79,130"
California,Chemical Plant and System Operators,49.66,"103,300"
California,Gas Plant Operators,55.96,"116,400"
California,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",50.20,"104,410"
California,"Plant and System Operators, All Other",33.34,"69,350"
California,Chemical Equipment Operators and Tenders,24.15,"50,220"
California,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",27.63,"57,460"
California,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",20.22,"42,060"
California,"Grinding and Polishing Workers, Hand",20.76,"43,180"
California,"Mixing and Blending Machine Setters, Operators, and Tenders",22.33,"46,440"
California,"Cutters and Trimmers, Hand",17.20,"35,770"
California,"Cutting and Slicing Machine Setters, Operators, and Tenders",20.68,"43,020"
California,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",22.08,"45,920"
California,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",22.48,"46,760"
California,"Inspectors, Testers, Sorters, Samplers, and Weighers",23.32,"48,510"
California,Jewelers and Precious Stone and Metal Workers,25.22,"52,460"
California,Dental Laboratory Technicians,23.40,"48,670"
California,Medical Appliance Technicians,22.29,"46,370"
California,Ophthalmic Laboratory Technicians,23.01,"47,850"
California,Packaging and Filling Machine Operators and Tenders,18.65,"38,790"
California,"Painting, Coating, and Decorating Workers",19.87,"41,330"
California,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",22.91,"47,650"
California,Semiconductor Processing Technicians,22.54,"46,880"
California,Photographic Process Workers and Processing Machine Operators,18.74,"38,980"
California,Computer Numerically Controlled Tool Operators,23.93,"49,770"
California,Computer Numerically Controlled Tool Programmers,36.50,"75,920"
California,Adhesive Bonding Machine Operators and Tenders,17.28,"35,930"
California,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",19.53,"40,620"
California,Cooling and Freezing Equipment Operators and Tenders,19.74,"41,070"
California,Etchers and Engravers,21.32,"44,350"
California,"Molders, Shapers, and Casters, Except Metal and Plastic",23.08,"48,000"
California,"Paper Goods Machine Setters, Operators, and Tenders",22.65,"47,100"
California,Tire Builders,22.49,"46,780"
California,Helpers--Production Workers,18.92,"39,360"
California,"Production Workers, All Other",18.36,"38,200"
California,Transportation and Material Moving Occupations,21.25,"44,200"
California,Aircraft Cargo Handling Supervisors,27.47,"57,140"
California,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",29.83,"62,040"
California,"Airline Pilots, Copilots, and Flight Engineers",*,#
California,Commercial Pilots,*,"107,370"
California,Air Traffic Controllers,77.16,"160,490"
California,Airfield Operations Specialists,30.50,"63,430"
California,Flight Attendants,*,"79,130"
California,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",16.99,"35,330"
California,Driver/Sales Workers,20.03,"41,670"
California,Heavy and Tractor-Trailer Truck Drivers,27.90,"58,030"
California,Light Truck Drivers,21.08,"43,850"
California,"Bus Drivers, School",26.63,"55,380"
California,"Bus Drivers, Transit and Intercity",31.72,"65,970"
California,Shuttle Drivers and Chauffeurs,18.91,"39,330"
California,Taxi Drivers,17.93,"37,280"
California,"Motor Vehicle Operators, All Other",21.53,"44,770"
California,Locomotive Engineers,35.93,"74,740"
California,"Rail Yard Engineers, Dinkey Operators, and Hostlers",30.19,"62,790"
California,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",28.76,"59,820"
California,Railroad Conductors and Yardmasters,31.13,"64,760"
California,Subway and Streetcar Operators,35.38,"73,600"
California,"Rail Transportation Workers, All Other",22.56,"46,920"
California,Sailors and Marine Oilers,24.46,"50,870"
California,"Captains, Mates, and Pilots of Water Vessels",34.03,"70,780"
California,Motorboat Operators,40.35,"83,930"
California,Ship Engineers,*,*
California,Bridge and Lock Tenders,26.95,"56,060"
California,Parking Attendants,17.07,"35,500"
California,Automotive and Watercraft Service Attendants,18.28,"38,030"
California,Aircraft Service Attendants,18.87,"39,250"
California,Traffic Technicians,31.95,"66,460"
California,Transportation Inspectors,35.95,"74,780"
California,Passenger Attendants,18.54,"38,570"
California,"Transportation Workers, All Other",22.83,"47,490"
California,Conveyor Operators and Tenders,19.23,"40,000"
California,Crane and Tower Operators,28.82,"59,940"
California,Industrial Truck and Tractor Operators,22.59,"46,980"
California,Cleaners of Vehicles and Equipment,17.32,"36,030"
California,"Laborers and Freight, Stock, and Material Movers, Hand",19.49,"40,550"
California,Machine Feeders and Offbearers,19.71,"40,990"
California,"Packers and Packagers, Hand",17.65,"36,700"
California,Stockers and Order Fillers,18.68,"38,860"
California,Gas Compressor and Gas Pumping Station Operators,26.53,"55,190"
California,"Pump Operators, Except Wellhead Pumpers",24.08,"50,090"
California,Wellhead Pumpers,29.93,"62,260"
California,Refuse and Recyclable Material Collectors,28.61,"59,500"
California,"Tank Car, Truck, and Ship Loaders",28.39,"59,050"
California,"Material Moving Workers, All Other",17.43,"36,250"