2023 National Employment Matrix title,2023 National Employment Matrix code,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,xlsx_ooh_link
Veterinarians,29-1131,Doctoral or professional degree,None,None,OOH Content
Registered nurses,29-1141,Bachelor's degree,None,None,OOH Content
Nurse anesthetists,29-1151,Master's degree,None,None,OOH Content
Nurse midwives,29-1161,Master's degree,None,None,OOH Content
Nurse practitioners,29-1171,Master's degree,None,None,OOH Content
Audiologists,29-1181,Doctoral or professional degree,None,None,OOH Content
Anesthesiologists,29-1211,Doctoral or professional degree,None,Internship/residency,OOH Content
Cardiologists,29-1212,Doctoral or professional degree,None,Internship/residency,OOH Content
Dermatologists,29-1213,Doctoral or professional degree,None,Internship/residency,OOH Content
Emergency medicine physicians,29-1214,Doctoral or professional degree,None,Internship/residency,OOH Content
Family medicine physicians,29-1215,Doctoral or professional degree,None,Internship/residency,OOH Content
General internal medicine physicians,29-1216,Doctoral or professional degree,None,Internship/residency,OOH Content
Neurologists,29-1217,Doctoral or professional degree,None,Internship/residency,OOH Content
Obstetricians and gynecologists,29-1218,Doctoral or professional degree,None,Internship/residency,OOH Content
"Pediatricians, general",29-1221,Doctoral or professional degree,None,Internship/residency,OOH Content
"Physicians, pathologists",29-1222,Doctoral or professional degree,None,Internship/residency,OOH Content
Psychiatrists,29-1223,Doctoral or professional degree,None,Internship/residency,OOH Content
Radiologists,29-1224,Doctoral or professional degree,None,Internship/residency,OOH Content
"Physicians, all other",29-1229,Doctoral or professional degree,None,Internship/residency,OOH Content
"Ophthalmologists, except pediatric",29-1241,Doctoral or professional degree,None,Internship/residency,OOH Content
"Orthopedic surgeons, except pediatric",29-1242,Doctoral or professional degree,None,Internship/residency,OOH Content
Pediatric surgeons,29-1243,Doctoral or professional degree,None,Internship/residency,OOH Content
"Surgeons, all other",29-1249,Doctoral or professional degree,None,Internship/residency,OOH Content
Acupuncturists,29-1291,Master's degree,None,None,—
Dental hygienists,29-1292,Associate's degree,None,None,OOH Content
"Healthcare diagnosing or treating practitioners, all other",29-1299,Master's degree,None,None,—
Clinical laboratory technologists and technicians,29-2010,Bachelor's degree,None,None,OOH Content
Cardiovascular technologists and technicians,29-2031,Associate's degree,None,None,OOH Content
Diagnostic medical sonographers,29-2032,Associate's degree,None,None,OOH Content
Nuclear medicine technologists,29-2033,Associate's degree,None,None,OOH Content
Radiologic technologists and technicians,29-2034,Associate's degree,None,None,OOH Content
Magnetic resonance imaging technologists,29-2035,Associate's degree,Less than 5 years,None,OOH Content
Medical dosimetrists,29-2036,Bachelor's degree,None,None,OOH Content
Emergency medical technicians,29-2042,Postsecondary nondegree award,None,None,OOH Content
Paramedics,29-2043,Postsecondary nondegree award,Less than 5 years,None,OOH Content
Dietetic technicians,29-2051,Associate's degree,None,None,—
Pharmacy technicians,29-2052,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Psychiatric technicians,29-2053,Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training,OOH Content
Surgical technologists,29-2055,Postsecondary nondegree award,None,None,OOH Content
Veterinary technologists and technicians,29-2056,Associate's degree,None,None,OOH Content
Ophthalmic medical technicians,29-2057,Postsecondary nondegree award,None,None,—
Licensed practical and licensed vocational nurses,29-2061,Postsecondary nondegree award,None,None,OOH Content
Medical records specialists,29-2072,Postsecondary nondegree award,None,None,OOH Content
"Opticians, dispensing",29-2081,High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
Orthotists and prosthetists,29-2091,Master's degree,None,Internship/residency,OOH Content
Hearing aid specialists,29-2092,High school diploma or equivalent,None,Moderate-term on-the-job training,—
"Health technologists and technicians, all other",29-2099,Postsecondary nondegree award,None,None,—
Health information technologists and medical registrars,29-9021,Associate's degree,None,None,OOH Content
Athletic trainers,29-9091,Master's degree,None,None,OOH Content
Genetic counselors,29-9092,Master's degree,None,None,OOH Content
Surgical assistants,29-9093,Postsecondary nondegree award,None,None,OOH Content
"Healthcare practitioners and technical workers, all other",29-9099,Postsecondary nondegree award,None,None,—
Home health and personal care aides,31-1120,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Nursing assistants,31-1131,Postsecondary nondegree award,None,None,OOH Content
Orderlies,31-1132,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Psychiatric aides,31-1133,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Occupational therapy assistants,31-2011,Associate's degree,None,None,OOH Content
Occupational therapy aides,31-2012,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Physical therapist assistants,31-2021,Associate's degree,None,None,OOH Content
Physical therapist aides,31-2022,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Massage therapists,31-9011,Postsecondary nondegree award,None,None,OOH Content
Dental assistants,31-9091,Postsecondary nondegree award,None,None,OOH Content
Medical assistants,31-9092,Postsecondary nondegree award,None,None,OOH Content
Medical equipment preparers,31-9093,High school diploma or equivalent,None,Moderate-term on-the-job training,—
Medical transcriptionists,31-9094,Postsecondary nondegree award,None,None,OOH Content
Pharmacy aides,31-9095,High school diploma or equivalent,None,Short-term on-the-job training,—
Veterinary assistants and laboratory animal caretakers,31-9096,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Phlebotomists,31-9097,Postsecondary nondegree award,None,None,OOH Content
"Healthcare support workers, all other",31-9099,High school diploma or equivalent,None,None,—
First-line supervisors of correctional officers,33-1011,High school diploma or equivalent,Less than 5 years,None,—
First-line supervisors of police and detectives,33-1012,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,—
First-line supervisors of firefighting and prevention workers,33-1021,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training,—
First-line supervisors of security workers,33-1091,High school diploma or equivalent,Less than 5 years,None,—
"First-line supervisors of protective service workers, all other",33-1099,High school diploma or equivalent,Less than 5 years,None,—
Firefighters,33-2011,Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content
Fire inspectors and investigators,33-2021,Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training,OOH Content
Forest fire inspectors and prevention specialists,33-2022,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
Bailiffs,33-3011,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Correctional officers and jailers,33-3012,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Detectives and criminal investigators,33-3021,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
Fish and game wardens,33-3031,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
Parking enforcement workers,33-3041,High school diploma or equivalent,None,Short-term on-the-job training,—
Police and sheriff's patrol officers,33-3051,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Transit and railroad police,33-3052,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Animal control workers,33-9011,High school diploma or equivalent,None,Moderate-term on-the-job training,—
Private detectives and investigators,33-9021,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
Gambling surveillance officers and gambling investigators,33-9031,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
Security guards,33-9032,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Crossing guards and flaggers,33-9091,No formal educational credential,None,Short-term on-the-job training,—
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,No formal educational credential,None,Short-term on-the-job training,—
Transportation security screeners,33-9093,High school diploma or equivalent,None,Short-term on-the-job training,—
School bus monitors,33-9094,High school diploma or equivalent,None,Short-term on-the-job training,—
"Protective service workers, all other",33-9099,High school diploma or equivalent,None,Short-term on-the-job training,—
Chefs and head cooks,35-1011,High school diploma or equivalent,5 years or more,None,OOH Content
First-line supervisors of food preparation and serving workers,35-1012,High school diploma or equivalent,Less than 5 years,None,—
"Cooks, fast food",35-2011,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Cooks, institution and cafeteria",35-2012,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Cooks, private household",35-2013,Postsecondary nondegree award,Less than 5 years,None,OOH Content
"Cooks, restaurant",35-2014,No formal educational credential,Less than 5 years,Moderate-term on-the-job training,OOH Content
"Cooks, short order",35-2015,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Cooks, all other",35-2019,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
Food preparation workers,35-2021,No formal educational credential,None,Short-term on-the-job training,OOH Content
Bartenders,35-3011,No formal educational credential,None,Short-term on-the-job training,OOH Content
Fast food and counter workers,35-3023,No formal educational credential,None,Short-term on-the-job training,OOH Content
Waiters and waitresses,35-3031,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Food servers, nonrestaurant",35-3041,No formal educational credential,None,Short-term on-the-job training,OOH Content
Dining room and cafeteria attendants and bartender helpers,35-9011,No formal educational credential,None,Short-term on-the-job training,OOH Content
Dishwashers,35-9021,No formal educational credential,None,Short-term on-the-job training,—
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Food preparation and serving related workers, all other",35-9099,No formal educational credential,None,Short-term on-the-job training,—
First-line supervisors of housekeeping and janitorial workers,37-1011,High school diploma or equivalent,Less than 5 years,None,—
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,High school diploma or equivalent,Less than 5 years,None,—
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,No formal educational credential,None,Short-term on-the-job training,OOH Content
Maids and housekeeping cleaners,37-2012,No formal educational credential,None,Short-term on-the-job training,—
"Building cleaning workers, all other",37-2019,No formal educational credential,None,Short-term on-the-job training,—
Pest control workers,37-2021,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Landscaping and groundskeeping workers,37-3011,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Tree trimmers and pruners,37-3013,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Grounds maintenance workers, all other",37-3019,No formal educational credential,None,Short-term on-the-job training,OOH Content
First-line supervisors of gambling services workers,39-1013,High school diploma or equivalent,Less than 5 years,None,OOH Content
"First-line supervisors of entertainment and recreation workers, except gambling services",39-1014,High school diploma or equivalent,Less than 5 years,None,—
First-line supervisors of personal service workers,39-1022,High school diploma or equivalent,Less than 5 years,None,—
Animal trainers,39-2011,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Animal caretakers,39-2021,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Gambling dealers,39-3011,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Gambling and sports book writers and runners,39-3012,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Gambling service workers, all other",39-3019,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Motion picture projectionists,39-3021,No formal educational credential,None,Short-term on-the-job training,—
"Ushers, lobby attendants, and ticket takers",39-3031,No formal educational credential,None,Short-term on-the-job training,—
Amusement and recreation attendants,39-3091,No formal educational credential,None,Short-term on-the-job training,—
Costume attendants,39-3092,High school diploma or equivalent,None,Short-term on-the-job training,—
"Locker room, coatroom, and dressing room attendants",39-3093,High school diploma or equivalent,None,Short-term on-the-job training,—
"Entertainment attendants and related workers, all other",39-3099,High school diploma or equivalent,None,Short-term on-the-job training,—
Embalmers,39-4011,Associate's degree,None,Long-term on-the-job training,—
Crematory operators,39-4012,High school diploma or equivalent,None,Short-term on-the-job training,—
Funeral attendants,39-4021,High school diploma or equivalent,None,Short-term on-the-job training,—
"Morticians, undertakers, and funeral arrangers",39-4031,Associate's degree,None,Long-term on-the-job training,OOH Content
Barbers,39-5011,Postsecondary nondegree award,None,None,OOH Content
"Hairdressers, hairstylists, and cosmetologists",39-5012,Postsecondary nondegree award,None,None,OOH Content
"Makeup artists, theatrical and performance",39-5091,Postsecondary nondegree award,None,None,—
Manicurists and pedicurists,39-5092,Postsecondary nondegree award,None,None,OOH Content
Shampooers,39-5093,No formal educational credential,None,Short-term on-the-job training,—
Skincare specialists,39-5094,Postsecondary nondegree award,None,None,OOH Content
Baggage porters and bellhops,39-6011,High school diploma or equivalent,None,Short-term on-the-job training,—
Concierges,39-6012,High school diploma or equivalent,None,Moderate-term on-the-job training,—
Tour and travel guides,39-7010,High school diploma or equivalent,None,Moderate-term on-the-job training,—
Childcare workers,39-9011,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Exercise trainers and group fitness instructors,39-9031,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Recreation workers,39-9032,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Residential advisors,39-9041,High school diploma or equivalent,None,Short-term on-the-job training,—
"Personal care and service workers, all other",39-9099,High school diploma or equivalent,None,Short-term on-the-job training,—
First-line supervisors of retail sales workers,41-1011,High school diploma or equivalent,Less than 5 years,None,—
First-line supervisors of non-retail sales workers,41-1012,High school diploma or equivalent,Less than 5 years,None,—
Cashiers,41-2011,No formal educational credential,None,Short-term on-the-job training,OOH Content
Gambling change persons and booth cashiers,41-2012,No formal educational credential,None,Short-term on-the-job training,—
Counter and rental clerks,41-2021,No formal educational credential,None,Short-term on-the-job training,—
Parts salespersons,41-2022,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
Retail salespersons,41-2031,No formal educational credential,None,Short-term on-the-job training,OOH Content
Advertising sales agents,41-3011,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Insurance sales agents,41-3021,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"Securities, commodities, and financial services sales agents",41-3031,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
Travel agents,41-3041,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,High school diploma or equivalent,None,Moderate-term on-the-job training,—
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Demonstrators and product promoters,41-9011,No formal educational credential,None,Short-term on-the-job training,—
Models,41-9012,No formal educational credential,None,None,OOH Content
Real estate brokers,41-9021,High school diploma or equivalent,Less than 5 years,None,OOH Content
Real estate sales agents,41-9022,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Sales engineers,41-9031,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
Telemarketers,41-9041,No formal educational credential,None,Short-term on-the-job training,—
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,No formal educational credential,None,Short-term on-the-job training,—
"Sales and related workers, all other",41-9099,High school diploma or equivalent,None,None,—
First-line supervisors of office and administrative support workers,43-1011,High school diploma or equivalent,Less than 5 years,None,—
"Switchboard operators, including answering service",43-2011,High school diploma or equivalent,None,Short-term on-the-job training,—
Telephone operators,43-2021,High school diploma or equivalent,None,Short-term on-the-job training,—
"Communications equipment operators, all other",43-2099,High school diploma or equivalent,None,Short-term on-the-job training,—
Bill and account collectors,43-3011,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Billing and posting clerks,43-3021,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"Bookkeeping, accounting, and auditing clerks",43-3031,"Some college, no degree",None,Moderate-term on-the-job training,OOH Content
Gambling cage workers,43-3041,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Payroll and timekeeping clerks,43-3051,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Procurement clerks,43-3061,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Tellers,43-3071,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Financial clerks, all other",43-3099,High school diploma or equivalent,None,Short-term on-the-job training,—
Brokerage clerks,43-4011,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Correspondence clerks,43-4021,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Court, municipal, and license clerks",43-4031,High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
"Credit authorizers, checkers, and clerks",43-4041,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Customer service representatives,43-4051,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Eligibility interviewers, government programs",43-4061,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
File clerks,43-4071,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Hotel, motel, and resort desk clerks",43-4081,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Interviewers, except eligibility and loan",43-4111,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Library assistants, clerical",43-4121,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Loan interviewers and clerks,43-4131,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
New accounts clerks,43-4141,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Order clerks,43-4151,"Some college, no degree",None,Short-term on-the-job training,OOH Content
"Human resources assistants, except payroll and timekeeping",43-4161,Associate's degree,None,None,OOH Content
Receptionists and information clerks,43-4171,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Reservation and transportation ticket agents and travel clerks,43-4181,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Information and record clerks, all other",43-4199,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Cargo and freight agents,43-5011,High school diploma or equivalent,None,Short-term on-the-job training,—
Couriers and messengers,43-5021,High school diploma or equivalent,None,Short-term on-the-job training,—
Public safety telecommunicators,43-5031,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"Dispatchers, except police, fire, and ambulance",43-5032,High school diploma or equivalent,None,Moderate-term on-the-job training,—
"Meter readers, utilities",43-5041,High school diploma or equivalent,None,Short-term on-the-job training,—
Postal service clerks,43-5051,No formal educational credential,None,Short-term on-the-job training,OOH Content
Postal service mail carriers,43-5052,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Postal service mail sorters, processors, and processing machine operators",43-5053,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Production, planning, and expediting clerks",43-5061,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"Shipping, receiving, and inventory clerks",43-5071,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Executive secretaries and executive administrative assistants,43-6011,High school diploma or equivalent,Less than 5 years,None,OOH Content
Legal secretaries and administrative assistants,43-6012,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Medical secretaries and administrative assistants,43-6013,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
Data entry keyers,43-9021,High school diploma or equivalent,None,Short-term on-the-job training,—
Word processors and typists,43-9022,High school diploma or equivalent,None,Short-term on-the-job training,—
Desktop publishers,43-9031,Associate's degree,None,Short-term on-the-job training,OOH Content
Insurance claims and policy processing clerks,43-9041,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"Mail clerks and mail machine operators, except postal service",43-9051,High school diploma or equivalent,None,Short-term on-the-job training,—
"Office clerks, general",43-9061,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Office machine operators, except computer",43-9071,High school diploma or equivalent,None,Short-term on-the-job training,—
Proofreaders and copy markers,43-9081,Bachelor's degree,None,None,—
Statistical assistants,43-9111,Bachelor's degree,None,None,—
"Office and administrative support workers, all other",43-9199,High school diploma or equivalent,None,Short-term on-the-job training,—
"First-line supervisors of farming, fishing, and forestry workers",45-1011,High school diploma or equivalent,Less than 5 years,None,—
Agricultural inspectors,45-2011,Bachelor's degree,None,Moderate-term on-the-job training,—
Animal breeders,45-2021,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"Graders and sorters, agricultural products",45-2041,No formal educational credential,None,Short-term on-the-job training,—
Agricultural equipment operators,45-2091,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Agricultural workers, all other",45-2099,No formal educational credential,None,Short-term on-the-job training,OOH Content
Fishing and hunting workers,45-3031,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
Forest and conservation workers,45-4011,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Fallers,45-4021,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Logging equipment operators,45-4022,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Log graders and scalers,45-4023,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"Logging workers, all other",45-4029,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
First-line supervisors of construction trades and extraction workers,47-1011,High school diploma or equivalent,5 years or more,None,—
Boilermakers,47-2011,High school diploma or equivalent,None,Apprenticeship,OOH Content
Brickmasons and blockmasons,47-2021,High school diploma or equivalent,None,Apprenticeship,OOH Content
Stonemasons,47-2022,High school diploma or equivalent,None,Apprenticeship,OOH Content
Carpenters,47-2031,High school diploma or equivalent,None,Apprenticeship,OOH Content
Carpet installers,47-2041,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Floor layers, except carpet, wood, and hard tiles",47-2042,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
Floor sanders and finishers,47-2043,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
Tile and stone setters,47-2044,No formal educational credential,None,Long-term on-the-job training,OOH Content
Cement masons and concrete finishers,47-2051,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
Terrazzo workers and finishers,47-2053,High school diploma or equivalent,None,Apprenticeship,OOH Content
Construction laborers,47-2061,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Paving, surfacing, and tamping equipment operators",47-2071,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Pile driver operators,47-2072,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Operating engineers and other construction equipment operators,47-2073,High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
Drywall and ceiling tile installers,47-2081,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
Tapers,47-2082,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
Electricians,47-2111,High school diploma or equivalent,None,Apprenticeship,OOH Content
Glaziers,47-2121,High school diploma or equivalent,None,Apprenticeship,OOH Content
"Insulation workers, floor, ceiling, and wall",47-2131,No formal educational credential,None,Short-term on-the-job training,OOH Content
"Insulation workers, mechanical",47-2132,High school diploma or equivalent,None,Apprenticeship,OOH Content
"Painters, construction and maintenance",47-2141,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
Paperhangers,47-2142,No formal educational credential,None,Long-term on-the-job training,—
Pipelayers,47-2151,No formal educational credential,None,Short-term on-the-job training,—
"Plumbers, pipefitters, and steamfitters",47-2152,High school diploma or equivalent,None,Apprenticeship,OOH Content
Plasterers and stucco masons,47-2161,No formal educational credential,None,Long-term on-the-job training,—
Reinforcing iron and rebar workers,47-2171,High school diploma or equivalent,None,Apprenticeship,OOH Content
Roofers,47-2181,No formal educational credential,None,Moderate-term on-the-job training,OOH Content
Sheet metal workers,47-2211,High school diploma or equivalent,None,Apprenticeship,OOH Content
Structural iron and steel workers,47-2221,High school diploma or equivalent,None,Apprenticeship,OOH Content
