2023 National Employment Matrix title,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",Typical education needed for entry
"Total, all occupations","167,849.8","174,589.0","6,739.2",4.0,"48,060",—
  Chief executives,313.9,331.1,17.2,5.5,"206,680",Bachelor's degree
  General and operations managers,"3,630.1","3,840.5",210.4,5.8,"101,280",Bachelor's degree
  Legislators[2],33.7,35.0,1.4,4.1,"47,290",Bachelor's degree
  Advertising and promotions managers,22.2,21.7,-0.6,-2.6,"131,870",Bachelor's degree
  Marketing managers,389.1,420.8,31.7,8.2,"157,620",Bachelor's degree
  Sales managers,584.8,619.1,34.3,5.9,"135,160",Bachelor's degree
  Public relations managers[2],78.4,83.8,5.4,6.9,"134,760",Bachelor's degree
  Fundraising managers[2],38.2,40.5,2.3,5.9,"119,200",Bachelor's degree
  Administrative services managers,256.8,272.8,16.0,6.2,"106,470",Bachelor's degree
  Facilities managers[2],140.5,147.9,7.4,5.3,"102,340",Bachelor's degree
  Computer and information systems managers,613.5,720.4,106.9,17.4,"169,510",Bachelor's degree
  Financial managers,837.1,975.3,138.3,16.5,"156,100",Bachelor's degree
  Industrial production managers,230.1,236.7,6.5,2.8,"116,970",Bachelor's degree
  Purchasing managers,81.3,85.4,4.1,5.1,"136,380",Bachelor's degree
"  Transportation, storage, and distribution managers",211.8,230.8,19.1,9.0,"99,200",High school diploma or equivalent
  Compensation and benefits managers,19.1,19.5,0.4,2.1,"136,380",Bachelor's degree
  Human resources managers,208.9,222.5,13.5,6.5,"136,350",Bachelor's degree
  Training and development managers,43.2,46.4,3.2,7.3,"125,040",Bachelor's degree
"  Farmers, ranchers, and other agricultural managers",856.6,842.9,-13.8,-1.6,"83,770",High school diploma or equivalent
  Construction managers,520.9,568.5,47.6,9.1,"104,900",Bachelor's degree
"  Education and childcare administrators, preschool and daycare",80.9,79.2,-1.7,-2.1,"54,290",Bachelor's degree
"  Education administrators, kindergarten through secondary",316.6,315.0,-1.6,-0.5,"103,460",Master's degree
"  Education administrators, postsecondary",216.4,222.7,6.2,2.9,"102,610",Master's degree
"  Education administrators, all other[2]",57.7,59.1,1.4,2.5,"88,460",Bachelor's degree
  Architectural and engineering managers,210.2,221.8,11.6,5.5,"165,370",Bachelor's degree
  Food service managers,393.6,399.5,5.9,1.5,"63,060",High school diploma or equivalent
  Gambling managers,5.3,5.5,0.3,5.1,"82,380",High school diploma or equivalent
"  Entertainment and recreation managers, except gambling[2]",35.8,39.7,3.9,10.8,"73,460",Bachelor's degree
  Lodging managers,53.3,58.6,5.3,9.9,"65,360",High school diploma or equivalent
  Medical and health services managers,562.7,723.3,160.6,28.5,"110,680",Bachelor's degree
  Natural sciences managers,100.1,107.6,7.5,7.5,"157,740",Bachelor's degree
  Postmasters and mail superintendents,13.2,12.8,-0.4,-3.0,"88,670",High school diploma or equivalent
"  Property, real estate, and community association managers",467.1,482.2,15.1,3.2,"62,850",High school diploma or equivalent
  Social and community service managers,199.5,215.9,16.4,8.2,"77,030",Bachelor's degree
  Emergency management directors,12.4,12.9,0.5,4.0,"83,960",Bachelor's degree
  Funeral home managers,35.8,37.4,1.6,4.5,"75,660",Associate's degree
"  Personal service managers, all other[2]",27.9,29.8,1.9,6.9,"57,570",High school diploma or equivalent
"  Managers, all other[2]","1,282.5","1,356.2",73.7,5.7,"133,560",Bachelor's degree
"  Agents and business managers of artists, performers, and athletes",18.6,20.4,1.7,9.2,"84,900",Bachelor's degree
  Buyers and purchasing agents,524.1,561.4,37.2,7.1,"71,950",Bachelor's degree
"  Claims adjusters, examiners, and investigators",345.2,330.0,-15.2,-4.4,"75,050",High school diploma or equivalent
"  Insurance appraisers, auto damage",10.5,9.5,-1.0,-9.2,"74,520",Postsecondary nondegree award
  Compliance officers,403.9,425.8,21.9,5.4,"75,670",Bachelor's degree
  Cost estimators,227.9,219.6,-8.3,-3.6,"74,740",Bachelor's degree
  Human resources specialists,933.7,"1,007.9",74.2,7.9,"67,650",Bachelor's degree
  Farm labor contractors,1.5,1.6,0.1,6.6,"45,730",No formal educational credential
  Labor relations specialists,65.8,65.6,-0.2,-0.3,"89,980",Bachelor's degree
  Logisticians,237.1,282.9,45.8,19.3,"79,400",Bachelor's degree
  Project management specialists[2],973.6,"1,043.4",69.9,7.2,"98,580",Bachelor's degree
  Management analysts,"1,018.3","1,126.2",107.9,10.6,"99,410",Bachelor's degree
"  Meeting, convention, and event planners",149.0,158.9,9.9,6.6,"56,920",Bachelor's degree
  Fundraisers,125.9,133.3,7.4,5.9,"64,160",Bachelor's degree
"  Compensation, benefits, and job analysis specialists",103.7,111.0,7.2,7.0,"74,530",Bachelor's degree
  Training and development specialists,420.1,468.6,48.5,11.5,"64,340",Bachelor's degree
  Market research analysts and marketing specialists,903.4,978.3,74.9,8.3,"74,680",Bachelor's degree
"  Business operations specialists, all other[2]","1,181.5","1,245.3",63.8,5.4,"79,590",Bachelor's degree
  Accountants and auditors,"1,562.0","1,653.4",91.4,5.8,"79,880",Bachelor's degree
  Property appraisers and assessors[2],83.9,87.1,3.2,3.9,"61,630",Bachelor's degree
  Budget analysts,50.8,52.7,2.0,3.9,"84,940",Bachelor's degree
  Credit analysts,73.7,70.8,-2.8,-3.9,"79,420",Bachelor's degree
  Financial and investment analysts[2],347.4,380.5,33.1,9.5,"99,010",Bachelor's degree
  Personal financial advisors,321.0,375.9,55.0,17.1,"99,580",Bachelor's degree
  Insurance underwriters,118.4,113.7,-4.7,-4.0,"77,860",Bachelor's degree
  Financial risk specialists[2],57.5,62.3,4.8,8.4,"106,090",Bachelor's degree
  Financial examiners,65.5,79.2,13.8,21.0,"84,300",Bachelor's degree
  Credit counselors,31.8,33.3,1.5,4.9,"48,570",Bachelor's degree
  Loan officers,334.1,338.7,4.5,1.4,"69,990",Bachelor's degree
"  Tax examiners and collectors, and revenue agents",54.0,55.0,1.0,1.9,"58,530",Bachelor's degree
  Tax preparers,103.8,108.2,4.4,4.2,"49,010",High school diploma or equivalent
"  Financial specialists, all other[2]",129.8,137.9,8.1,6.2,"78,310",Bachelor's degree
  Computer systems analysts,527.2,583.7,56.5,10.7,"103,800",Bachelor's degree
  Information security analysts,180.7,239.8,59.1,32.7,"120,360",Bachelor's degree
  Computer and information research scientists,36.6,46.0,9.4,25.6,"145,080",Master's degree
  Computer network support specialists,166.7,178.8,12.1,7.3,"71,530",Associate's degree
  Computer user support specialists,725.3,762.5,37.2,5.1,"59,240","Some college, no degree"
  Computer network architects,177.8,201.7,23.9,13.4,"129,840",Bachelor's degree
  Database administrators,80.5,87.1,6.6,8.2,"101,510",Bachelor's degree
  Database architects,61.4,68.0,6.6,10.8,"134,700",Bachelor's degree
  Network and computer systems administrators,335.4,326.6,-8.8,-2.6,"95,360",Bachelor's degree
  Computer programmers,139.4,126.0,-13.4,-9.6,"99,700",Bachelor's degree
  Software developers[2],"1,692.1","1,995.7",303.7,17.9,"132,270",Bachelor's degree
  Software quality assurance analysts and testers,205.0,229.2,24.2,11.8,"101,800",Bachelor's degree
  Web developers,94.1,102.5,8.5,9.0,"84,960",Bachelor's degree
  Web and digital interface designers[2],128.6,138.8,10.2,7.9,"98,540",Bachelor's degree
"  Computer occupations, all other[2]",470.9,522.0,51.1,10.8,"104,920",Bachelor's degree
  Actuaries,30.2,36.8,6.6,21.8,"120,000",Bachelor's degree
  Mathematicians,2.5,2.5,0.1,3.7,"116,440",Master's degree
  Operations research analysts,123.3,151.6,28.3,23.0,"83,640",Bachelor's degree
  Statisticians,32.4,36.2,3.8,11.8,"104,110",Master's degree
  Data scientists[2],202.9,276.0,73.1,36.0,"108,020",Bachelor's degree
"  Mathematical science occupations, all other[2]",4.6,4.9,0.3,6.9,"70,620",Bachelor's degree
"  Architects, except landscape and naval",127.3,137.2,9.9,7.8,"93,310",Bachelor's degree
  Landscape architects,24.7,25.8,1.2,4.7,"79,320",Bachelor's degree
  Cartographers and photogrammetrists,12.9,13.7,0.8,6.3,"76,210",Bachelor's degree
  Surveyors,52.6,55.7,3.1,5.9,"68,540",Bachelor's degree
  Aerospace engineers,68.9,73.0,4.1,6.0,"130,720",Bachelor's degree
  Agricultural engineers,1.9,2.0,0.1,7.8,"88,750",Bachelor's degree
  Bioengineers and biomedical engineers,19.7,21.2,1.5,7.4,"100,730",Bachelor's degree
  Chemical engineers,21.4,23.5,2.1,9.8,"112,100",Bachelor's degree
  Civil engineers,341.8,363.9,22.1,6.5,"95,890",Bachelor's degree
  Computer hardware engineers,84.1,90.2,6.1,7.2,"138,080",Bachelor's degree
  Electrical engineers,189.1,206.3,17.2,9.1,"106,950",Bachelor's degree
"  Electronics engineers, except computer",98.7,107.6,8.9,9.1,"119,200",Bachelor's degree
  Environmental engineers,41.3,44.2,2.9,6.9,"100,090",Bachelor's degree
"  Health and safety engineers, except mining safety engineers and inspectors",23.1,24.3,1.2,5.1,"103,690",Bachelor's degree
  Industrial engineers,336.6,377.5,40.9,12.2,"99,380",Bachelor's degree
  Marine engineers and naval architects,10.1,11.0,0.8,8.0,"100,270",Bachelor's degree
  Materials engineers,25.0,26.9,1.8,7.4,"104,100",Bachelor's degree
  Mechanical engineers,291.9,323.9,32.1,11.0,"99,510",Bachelor's degree
"  Mining and geological engineers, including mining safety engineers",7.1,7.3,0.1,2.0,"100,640",Bachelor's degree
  Nuclear engineers,13.4,13.3,-0.1,-0.8,"125,460",Bachelor's degree
  Petroleum engineers,20.8,21.3,0.5,2.4,"135,690",Bachelor's degree
"  Engineers, all other[2]",161.1,169.2,8.0,5.0,"111,970",Bachelor's degree
  Architectural and civil drafters,112.3,113.6,1.3,1.1,"61,820",Associate's degree
  Electrical and electronics drafters,23.2,24.2,1.0,4.1,"69,260",Associate's degree
  Mechanical drafters,50.4,47.9,-2.5,-4.9,"64,060",Associate's degree
"  Drafters, all other[2]",18.5,17.4,-1.1,-5.7,"59,260",Associate's degree
  Aerospace engineering and operations technologists and technicians,11.0,11.9,0.9,7.9,"77,830",Associate's degree
  Civil engineering technologists and technicians,66.0,67.1,1.2,1.8,"60,700",Associate's degree
  Electrical and electronic engineering technologists and technicians,99.6,102.6,3.0,3.0,"72,800",Associate's degree
  Electro-mechanical and mechatronics technologists and technicians,15.8,15.6,-0.2,-1.2,"65,080",Associate's degree
  Environmental engineering technologists and technicians,14.2,14.5,0.3,2.3,"54,000",Associate's degree
  Industrial engineering technologists and technicians,74.5,77.6,3.0,4.1,"62,610",Associate's degree
  Mechanical engineering technologists and technicians,39.9,40.7,0.8,1.9,"64,020",Associate's degree
  Calibration technologists and technicians[2],13.8,14.5,0.8,5.5,"62,790",Associate's degree
"  Engineering technologists and technicians, except drafters, all other[2]",69.5,72.6,3.1,4.4,"73,500",Associate's degree
  Surveying and mapping technicians,57.4,60.6,3.2,5.6,"48,940",High school diploma or equivalent
  Animal scientists,2.5,2.7,0.2,7.9,"70,140",Bachelor's degree
  Food scientists and technologists,14.5,15.7,1.3,8.9,"82,090",Bachelor's degree
  Soil and plant scientists,20.3,21.7,1.5,7.2,"68,240",Bachelor's degree
  Biochemists and biophysicists,35.7,39.0,3.2,9.0,"107,460",Doctoral or professional degree
  Microbiologists,23.2,24.8,1.6,6.7,"85,470",Bachelor's degree
  Zoologists and wildlife biologists,18.8,19.6,0.8,4.4,"70,600",Bachelor's degree
"  Biological scientists, all other[2]",66.8,70.6,3.8,5.6,"91,100",Bachelor's degree
  Conservation scientists,25.9,27.4,1.4,5.6,"68,750",Bachelor's degree
  Foresters,15.4,15.9,0.5,3.0,"67,330",Bachelor's degree
  Epidemiologists,11.0,13.1,2.1,18.8,"81,390",Master's degree
"  Medical scientists, except epidemiologists",146.6,163.4,16.8,11.5,"100,890",Doctoral or professional degree
"  Life scientists, all other[2]",8.0,8.5,0.5,6.5,"86,950",Bachelor's degree
  Astronomers,2.4,2.6,0.2,7.4,"127,930",Doctoral or professional degree
  Physicists,21.1,22.6,1.5,7.2,"155,680",Doctoral or professional degree
  Atmospheric and space scientists,9.9,10.5,0.6,5.6,"92,860",Bachelor's degree
  Chemists,87.2,93.8,6.6,7.6,"84,680",Bachelor's degree
  Materials scientists,9.2,10.0,0.8,8.7,"106,160",Bachelor's degree
"  Environmental scientists and specialists, including health",84.6,90.7,6.1,7.3,"78,980",Bachelor's degree
"  Geoscientists, except hydrologists and geographers",26.0,27.4,1.4,5.5,"92,580",Bachelor's degree
  Hydrologists,6.5,6.7,0.2,2.8,"88,770",Bachelor's degree
"  Physical scientists, all other[2]",34.1,34.9,0.8,2.3,"112,280",Bachelor's degree
  Economists,17.5,18.4,0.9,5.1,"115,730",Master's degree
  Survey researchers,9.7,9.7,0.0,-0.2,"60,960",Master's degree
  Industrial-organizational psychologists,8.6,9.1,0.5,5.8,"147,420",Master's degree
  Clinical and counseling psychologists,76.8,87.0,10.2,13.3,"96,100",Doctoral or professional degree
  School psychologists,65.5,66.0,0.5,0.7,"84,940",Master's degree
"  Psychologists, all other[2]",56.6,59.4,2.9,5.0,"117,750",Master's degree
  Sociologists,3.3,3.6,0.2,6.9,"101,770",Master's degree
  Urban and regional planners,45.2,47.1,2.0,4.3,"81,800",Master's degree
  Anthropologists and archeologists,8.7,9.3,0.7,7.8,"63,800",Master's degree
  Geographers,1.6,1.7,0.0,2.5,"90,880",Bachelor's degree
  Historians,3.4,3.6,0.2,5.7,"72,890",Master's degree
  Political scientists,6.2,6.3,0.2,2.6,"132,350",Master's degree
"  Social scientists and related workers, all other[2]",39.2,40.6,1.3,3.4,"95,890",Bachelor's degree
  Agricultural technicians,19.6,20.8,1.2,5.9,"43,180",Associate's degree
  Food science technicians,25.1,26.9,1.8,7.3,"49,090",Associate's degree
  Biological technicians,83.1,88.6,5.5,6.6,"51,430",Bachelor's degree
  Chemical technicians,58.3,61.4,3.2,5.5,"56,750",Associate's degree
"  Environmental science and protection technicians, including health",33.9,36.2,2.4,7.0,"50,660",Associate's degree
"  Geological technicians, except hydrologic technicians",9.2,9.5,0.3,3.8,"52,440",Associate's degree
  Hydrologic technicians[2],3.2,3.3,0.1,2.4,"55,890",Associate's degree
  Nuclear technicians,5.4,5.1,-0.3,-6.2,"101,740",Associate's degree
  Social science research assistants,37.5,39.9,2.4,6.3,"56,400",Bachelor's degree
  Forest and conservation technicians,31.3,31.8,0.5,1.7,"51,880",Associate's degree
  Forensic science technicians,18.6,21.2,2.5,13.6,"64,940",Bachelor's degree
"  Life, physical, and social science technicians, all other[2]",83.3,88.2,4.8,5.8,"58,350",Associate's degree
  Occupational health and safety specialists,125.9,144.7,18.8,14.9,"81,140",Bachelor's degree
  Occupational health and safety technicians,27.6,30.8,3.2,11.4,"57,920",High school diploma or equivalent
"  Educational, guidance, and career counselors and advisors",360.8,377.0,16.2,4.5,"61,710",Master's degree
  Marriage and family therapists,76.0,88.2,12.3,16.2,"58,510",Master's degree
  Rehabilitation counselors,87.6,89.2,1.6,1.8,"44,040",Master's degree
"  Substance abuse, behavioral disorder, and mental health counselors",449.8,534.3,84.5,18.8,"53,710",Master's degree
"  Counselors, all other[2]",65.9,75.4,9.5,14.4,"46,130",Master's degree
"  Child, family, and school social workers",365.9,383.8,17.9,4.9,"53,940",Bachelor's degree
  Healthcare social workers,193.2,211.9,18.7,9.7,"62,940",Master's degree
  Mental health and substance abuse social workers,123.7,138.1,14.4,11.6,"55,960",Master's degree
"  Social workers, all other[2]",69.0,72.8,3.8,5.5,"63,770",Bachelor's degree
  Health education specialists,62.1,66.4,4.3,7.0,"62,860",Bachelor's degree
  Probation officers and correctional treatment specialists,90.7,94.0,3.2,3.6,"61,800",Bachelor's degree
  Social and human service assistants,433.0,467.4,34.4,7.9,"41,410",High school diploma or equivalent
  Community health workers,63.4,71.7,8.3,13.1,"48,200",High school diploma or equivalent
"  Community and social service specialists, all other[2]",103.6,109.8,6.1,5.9,"49,690",Bachelor's degree
  Clergy,260.1,266.7,6.5,2.5,"58,920",Bachelor's degree
"  Directors, religious activities and education",155.9,159.4,3.5,2.2,"50,140",Bachelor's degree
"  Religious workers, all other[2]",83.8,85.7,1.9,2.2,"37,960",Bachelor's degree
  Lawyers,859.0,903.3,44.2,5.2,"145,760",Doctoral or professional degree
  Judicial law clerks,15.6,16.1,0.5,3.4,"57,490",Doctoral or professional degree
"  Administrative law judges, adjudicators, and hearing officers",15.8,16.1,0.3,2.1,"111,090",Doctoral or professional degree
"  Arbitrators, mediators, and conciliators",8.2,8.7,0.5,6.1,"71,540",Bachelor's degree
"  Judges, magistrate judges, and magistrates",25.9,26.8,0.9,3.4,"148,910",Doctoral or professional degree
  Paralegals and legal assistants,366.2,370.5,4.3,1.2,"60,970",Associate's degree
"  Title examiners, abstractors, and searchers",56.3,56.9,0.6,1.0,"53,550",High school diploma or equivalent
"  Legal support workers, all other[2]",47.3,47.8,0.5,1.0,"67,700",Associate's degree
"  Business teachers, postsecondary",104.9,111.9,7.0,6.7,"97,130",Doctoral or professional degree
"  Computer science teachers, postsecondary",45.0,47.7,2.7,6.1,"96,430",Doctoral or professional degree
"  Mathematical science teachers, postsecondary",58.5,60.4,1.9,3.3,"81,020",Doctoral or professional degree
"  Architecture teachers, postsecondary",10.7,11.0,0.3,3.2,"105,770",Doctoral or professional degree
"  Engineering teachers, postsecondary",48.8,53.3,4.5,9.2,"106,910",Doctoral or professional degree
"  Agricultural sciences teachers, postsecondary",9.5,9.9,0.5,4.8,"85,260",Doctoral or professional degree
"  Biological science teachers, postsecondary",64.9,70.3,5.4,8.4,"83,920",Doctoral or professional degree
"  Forestry and conservation science teachers, postsecondary",1.6,1.7,0.1,5.0,"101,650",Doctoral or professional degree
"  Atmospheric, earth, marine, and space sciences teachers, postsecondary",14.4,15.0,0.5,3.8,"100,690",Doctoral or professional degree
"  Chemistry teachers, postsecondary",25.4,26.2,0.9,3.4,"85,810",Doctoral or professional degree
"  Environmental science teachers, postsecondary",9.1,9.4,0.4,3.9,"88,410",Doctoral or professional degree
"  Physics teachers, postsecondary",17.7,18.4,0.7,3.7,"98,020",Doctoral or professional degree
"  Anthropology and archeology teachers, postsecondary",6.3,6.5,0.2,3.8,"93,650",Doctoral or professional degree
"  Area, ethnic, and cultural studies teachers, postsecondary",14.7,15.3,0.5,3.6,"86,030",Doctoral or professional degree
"  Economics teachers, postsecondary",15.5,16.0,0.5,3.5,"115,300",Doctoral or professional degree
"  Geography teachers, postsecondary",4.3,4.5,0.2,4.3,"85,600",Doctoral or professional degree
"  Political science teachers, postsecondary",21.7,22.4,0.7,3.3,"93,810",Doctoral or professional degree
"  Psychology teachers, postsecondary",51.1,53.6,2.6,5.0,"82,140",Doctoral or professional degree
"  Sociology teachers, postsecondary",16.1,16.6,0.5,3.4,"82,670",Doctoral or professional degree
"  Social sciences teachers, postsecondary, all other[2]",20.3,20.8,0.6,2.7,"77,750",Doctoral or professional degree
"  Health specialties teachers, postsecondary",284.2,337.5,53.3,18.8,"105,650",Doctoral or professional degree
"  Nursing instructors and teachers, postsecondary",89.9,105.9,16.1,17.9,"80,780",Doctoral or professional degree
"  Education teachers, postsecondary",77.2,79.7,2.5,3.3,"73,240",Doctoral or professional degree
"  Library science teachers, postsecondary",5.3,5.5,0.2,4.2,"80,310",Doctoral or professional degree
"  Criminal justice and law enforcement teachers, postsecondary",16.1,16.6,0.5,2.9,"69,030",Doctoral or professional degree
"  Law teachers, postsecondary",19.0,19.4,0.4,2.2,"127,360",Doctoral or professional degree
"  Social work teachers, postsecondary",15.1,15.7,0.5,3.6,"75,020",Doctoral or professional degree
"  Art, drama, and music teachers, postsecondary",127.4,130.9,3.5,2.7,"80,360",Master's degree
"  Communications teachers, postsecondary",35.0,36.2,1.2,3.3,"79,910",Doctoral or professional degree
"  English language and literature teachers, postsecondary",70.1,70.9,0.8,1.1,"78,130",Doctoral or professional degree
"  Foreign language and literature teachers, postsecondary",26.1,26.4,0.3,1.0,"78,760",Doctoral or professional degree
"  History teachers, postsecondary",25.8,26.0,0.2,0.9,"82,140",Doctoral or professional degree
"  Philosophy and religion teachers, postsecondary",26.4,27.0,0.5,2.0,"79,930",Doctoral or professional degree
"  Family and consumer sciences teachers, postsecondary",3.3,3.5,0.1,4.3,"78,410",Doctoral or professional degree
"  Recreation and fitness studies teachers, postsecondary",16.2,16.7,0.6,3.4,"75,770",Doctoral or professional degree
"  Career/technical education teachers, postsecondary",121.8,121.9,0.1,0.1,"62,060",Bachelor's degree
"  Postsecondary teachers, all other[2]",202.5,209.0,6.5,3.2,"79,870",Doctoral or professional degree
"  Preschool teachers, except special education",528.5,551.8,23.3,4.4,"37,130",Associate's degree
"  Kindergarten teachers, except special education",122.7,121.8,-0.8,-0.7,"62,690",Bachelor's degree
"  Elementary school teachers, except special education","1,441.0","1,430.4",-10.7,-0.7,"63,680",Bachelor's degree
"  Middle school teachers, except special and career/technical education",640.0,635.3,-4.7,-0.7,"64,290",Bachelor's degree
"  Career/technical education teachers, middle school",12.2,12.1,-0.1,-0.9,"63,860",Bachelor's degree
"  Secondary school teachers, except special and career/technical education","1,071.4","1,064.5",-6.9,-0.6,"65,220",Bachelor's degree
"  Career/technical education teachers, secondary school",89.6,88.9,-0.7,-0.8,"65,130",Bachelor's degree
"  Special education teachers, preschool",25.7,26.1,0.4,1.6,"65,270",Bachelor's degree
"  Special education teachers, kindergarten and elementary school[2]",212.7,211.2,-1.6,-0.7,"64,910",Bachelor's degree
"  Special education teachers, middle school",88.6,87.8,-0.8,-0.9,"66,600",Bachelor's degree
"  Special education teachers, secondary school",159.5,158.6,-0.9,-0.6,"66,620",Bachelor's degree
"  Special education teachers, all other[2]",45.1,46.0,1.0,2.1,"67,190",Bachelor's degree
"  Adult basic education, adult secondary education, and english as a second language instructors",41.7,36.4,-5.3,-12.7,"60,560",Bachelor's degree
  Self-enrichment teachers,370.1,382.8,12.7,3.4,"45,330",High school diploma or equivalent
"  Substitute teachers, short-term[2]",473.3,489.2,15.9,3.4,"37,380",Bachelor's degree
  Tutors,195.1,196.4,1.3,0.7,"39,580","Some college, no degree"
"  Teachers and instructors, all other[2]",143.5,145.5,1.9,1.4,"64,390",Bachelor's degree
  Archivists,8.8,9.5,0.7,8.0,"59,910",Master's degree
  Curators,14.2,16.0,1.7,12.2,"61,750",Master's degree
  Museum technicians and conservators,14.4,16.0,1.6,10.7,"48,670",Bachelor's degree
  Librarians and media collections specialists,142.2,146.4,4.2,2.9,"64,370",Master's degree
  Library technicians,81.5,77.0,-4.6,-5.6,"39,310",Postsecondary nondegree award
  Farm and home management educators,9.8,9.7,-0.2,-1.7,"59,770",Master's degree
  Instructional coordinators,225.2,229.3,4.1,1.8,"74,620",Master's degree
"  Teaching assistants, postsecondary",184.6,192.1,7.4,4.0,"43,750",Bachelor's degree
"  Teaching assistants, except postsecondary[2]","1,389.2","1,381.0",-8.2,-0.6,"35,550","Some college, no degree"
"  Educational instruction and library workers, all other[2]",127.2,129.7,2.5,2.0,"49,800",Bachelor's degree
  Art directors,126.6,133.2,6.6,5.2,"106,500",Bachelor's degree
  Craft artists,14.3,14.6,0.3,2.2,"36,600",No formal educational credential
"  Fine artists, including painters, sculptors, and illustrators",26.3,27.4,1.1,4.0,"59,300",Bachelor's degree
  Special effects artists and animators,73.3,76.4,3.2,4.3,"99,060",Bachelor's degree
"  Artists and related workers, all other[2]",13.4,13.8,0.4,3.3,"74,750",No formal educational credential
  Commercial and industrial designers,34.0,35.1,1.1,3.1,"76,250",Bachelor's degree
  Fashion designers,21.9,22.9,1.0,4.7,"79,290",Bachelor's degree
  Floral designers,53.7,48.1,-5.6,-10.4,"34,690",High school diploma or equivalent
  Graphic designers,267.2,273.8,6.6,2.5,"58,910",Bachelor's degree
  Interior designers,92.2,95.9,3.7,4.0,"62,510",Bachelor's degree
  Merchandise displayers and window trimmers,176.4,184.7,8.4,4.8,"36,230",High school diploma or equivalent
  Set and exhibit designers,29.6,31.1,1.5,5.1,"59,490",Bachelor's degree
"  Designers, all other[2]",30.4,31.3,0.9,3.0,"67,500",Bachelor's degree
  Actors,76.0,79.5,3.5,4.5,—,"Some college, no degree"
  Producers and directors,167.9,181.5,13.5,8.0,"82,510",Bachelor's degree
  Athletes and sports competitors,25.1,27.8,2.8,11.1,"70,280",No formal educational credential
  Coaches and scouts,307.1,334.0,26.9,8.8,"45,910",Bachelor's degree
"  Umpires, referees, and other sports officials",23.1,25.5,2.4,10.4,"35,820",High school diploma or equivalent
  Dancers,15.2,16.2,1.0,6.7,—,No formal educational credential
  Choreographers,5.4,5.7,0.3,5.3,"52,000",High school diploma or equivalent
  Music directors and composers,50.3,51.6,1.4,2.7,"62,590",Bachelor's degree
  Musicians and singers,169.3,172.8,3.5,2.1,—,No formal educational credential
"  Disc jockeys, except radio[2]",21.0,22.1,1.1,5.1,—,High school diploma or equivalent
"  Entertainers and performers, sports and related workers, all other[2]",35.7,38.3,2.6,7.3,—,No formal educational credential
  Broadcast announcers and radio disc jockeys,26.5,25.4,-1.1,-4.0,"44,890",Bachelor's degree
"  News analysts, reporters, and journalists",49.8,48.4,-1.4,-2.7,"57,500",Bachelor's degree
  Public relations specialists,308.0,327.2,19.2,6.2,"66,750",Bachelor's degree
  Editors,114.2,111.9,-2.3,-2.0,"75,020",Bachelor's degree
  Technical writers,50.1,52.1,2.0,4.0,"80,050",Bachelor's degree
  Writers and authors,150.7,158.4,7.7,5.1,"73,690",Bachelor's degree
  Interpreters and translators,78.3,80.1,1.8,2.3,"57,090",Bachelor's degree
  Court reporters and simultaneous captioners,17.5,17.9,0.3,1.8,"63,940",Postsecondary nondegree award
"  Media and communication workers, all other[2]",27.0,29.1,2.2,8.0,"61,900",High school diploma or equivalent
  Audio and video technicians,87.3,91.9,4.6,5.3,"51,640",Postsecondary nondegree award
  Broadcast technicians,30.0,30.0,0.0,0.1,"57,690",Associate's degree
  Sound engineering technicians,18.0,17.9,-0.1,-0.5,"59,430",Postsecondary nondegree award
  Lighting technicians[2],10.8,10.5,-0.3,-3.0,"62,240",Postsecondary nondegree award
  Photographers,151.1,156.9,5.8,3.9,"40,760",High school diploma or equivalent
