2023 National Employment Matrix title,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",Typical education needed for entry
  Drywall and ceiling tile installers,116.6,120.4,3.8,3.3,"55,700",No formal educational credential
  Tapers,20.0,19.8,-0.1,-0.7,"63,350",No formal educational credential
  Electricians,779.8,864.1,84.3,10.8,"61,590",High school diploma or equivalent
  Glaziers,56.5,58.6,2.1,3.8,"51,100",High school diploma or equivalent
"  Insulation workers, floor, ceiling, and wall",39.1,40.2,1.0,2.7,"47,540",No formal educational credential
"  Insulation workers, mechanical",23.4,24.6,1.2,5.1,"53,920",High school diploma or equivalent
"  Painters, construction and maintenance",338.9,352.4,13.6,4.0,"47,700",No formal educational credential
  Paperhangers,2.9,3.1,0.2,5.7,"48,460",No formal educational credential
  Pipelayers,37.3,36.4,-0.9,-2.3,"47,330",No formal educational credential
"  Plumbers, pipefitters, and steamfitters",473.4,499.7,26.3,5.6,"61,550",High school diploma or equivalent
  Plasterers and stucco masons,24.1,24.9,0.8,3.3,"52,640",No formal educational credential
  Reinforcing iron and rebar workers,21.9,22.9,0.9,4.2,"54,850",High school diploma or equivalent
  Roofers,168.1,177.9,9.8,5.8,"50,030",No formal educational credential
  Sheet metal workers,124.2,127.1,2.9,2.3,"58,780",High school diploma or equivalent
  Structural iron and steel workers,66.1,68.9,2.7,4.1,"62,760",High school diploma or equivalent
  Solar photovoltaic installers,25.0,37.0,12.0,48.0,"48,800",High school diploma or equivalent
"  Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",17.1,15.6,-1.6,-9.1,"42,470",No formal educational credential
  Helpers--carpenters,22.3,21.6,-0.7,-3.0,"39,380",No formal educational credential
  Helpers--electricians,71.5,72.2,0.7,1.0,"38,340",High school diploma or equivalent
"  Helpers--painters, paperhangers, plasterers, and stucco masons",7.8,8.0,0.1,1.9,"37,010",No formal educational credential
"  Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47.1,49.8,2.8,5.9,"37,650",High school diploma or equivalent
  Helpers--roofers,4.8,5.0,0.3,5.6,"38,620",No formal educational credential
"  Helpers, construction trades, all other[2]",28.0,30.4,2.3,8.3,"40,220",No formal educational credential
  Construction and building inspectors,142.6,142.7,0.0,0.0,"67,700",High school diploma or equivalent
  Elevator and escalator installers and repairers,24.4,25.8,1.4,5.7,"102,420",High school diploma or equivalent
  Fence erectors,24.3,25.5,1.2,4.8,"44,410",No formal educational credential
  Hazardous materials removal workers,50.3,50.9,0.5,1.0,"47,280",High school diploma or equivalent
  Highway maintenance workers,160.4,166.5,6.1,3.8,"47,360",High school diploma or equivalent
  Rail-track laying and maintenance equipment operators,17.7,18.1,0.4,2.5,"67,000",High school diploma or equivalent
  Septic tank servicers and sewer pipe cleaners,30.1,32.6,2.4,8.1,"46,910",High school diploma or equivalent
  Miscellaneous construction and related workers[2],31.6,32.9,1.3,4.0,"47,090",High school diploma or equivalent
"  Derrick operators, oil and gas",12.1,12.5,0.4,3.1,"58,210",No formal educational credential
"  Rotary drill operators, oil and gas",12.8,13.1,0.3,2.2,"61,770",No formal educational credential
"  Service unit operators, oil and gas",48.7,49.7,1.0,2.1,"55,750",No formal educational credential
"  Excavating and loading machine and dragline operators, surface mining",34.4,34.1,-0.3,-0.8,"50,050",High school diploma or equivalent
"  Earth drillers, except oil and gas",18.9,19.7,0.8,4.0,"56,660",High school diploma or equivalent
"  Explosives workers, ordnance handling experts, and blasters",4.8,4.8,0.1,1.2,"61,590",High school diploma or equivalent
  Continuous mining machine operators,16.1,15.8,-0.3,-1.8,"61,420",No formal educational credential
"  Roof bolters, mining",2.0,1.4,-0.6,-32.0,"66,660",High school diploma or equivalent
"  Loading and moving machine operators, underground mining",5.3,4.1,-1.2,-22.9,"64,070",No formal educational credential
"  Underground mining machine operators, all other[2]",2.6,2.5,-0.1,-4.5,"68,910",No formal educational credential
"  Rock splitters, quarry",3.7,3.8,0.1,2.8,"46,530",No formal educational credential
"  Roustabouts, oil and gas",46.0,48.6,2.5,5.5,"46,340",No formal educational credential
  Helpers--extraction workers,7.7,7.8,0.1,1.8,"45,520",High school diploma or equivalent
"  Extraction workers, all other[2]",7.4,7.4,0.0,-0.5,"49,580",High school diploma or equivalent
"  First-line supervisors of mechanics, installers, and repairers",604.3,626.2,21.9,3.6,"75,820",High school diploma or equivalent
"  Computer, automated teller, and office machine repairers",85.7,84.0,-1.7,-2.0,"45,760","Some college, no degree"
"  Radio, cellular, and tower equipment installers and repairers",12.0,12.9,0.8,6.8,"61,310",Associate's degree
"  Telecommunications equipment installers and repairers, except line installers",162.3,156.8,-5.5,-3.4,"61,270",Postsecondary nondegree award
  Avionics technicians,21.9,23.5,1.7,7.6,"77,420",Postsecondary nondegree award
"  Electric motor, power tool, and related repairers",17.7,18.6,0.9,5.0,"49,230",High school diploma or equivalent
"  Electrical and electronics installers and repairers, transportation equipment",7.6,8.2,0.5,6.9,"79,160",Postsecondary nondegree award
"  Electrical and electronics repairers, commercial and industrial equipment",59.8,60.5,0.7,1.2,"66,680",Postsecondary nondegree award
"  Electrical and electronics repairers, powerhouse, substation, and relay",25.4,25.7,0.2,0.8,"96,600",Postsecondary nondegree award
"  Electronic equipment installers and repairers, motor vehicles",9.1,7.9,-1.2,-13.2,"45,570",High school diploma or equivalent
  Audiovisual equipment installers and repairers,27.8,28.3,0.5,1.9,"48,380",Postsecondary nondegree award
  Security and fire alarm systems installers,86.0,93.4,7.4,8.6,"56,430",High school diploma or equivalent
  Aircraft mechanics and service technicians,141.4,148.7,7.3,5.2,"75,020",Postsecondary nondegree award
  Automotive body and related repairers,169.2,171.4,2.1,1.3,"48,740",High school diploma or equivalent
  Automotive glass installers and repairers,21.7,22.1,0.4,2.0,"45,320",High school diploma or equivalent
  Automotive service technicians and mechanics,794.6,815.9,21.2,2.7,"47,770",Postsecondary nondegree award
  Bus and truck mechanics and diesel engine specialists,300.2,308.7,8.5,2.8,"58,970",High school diploma or equivalent
  Farm equipment mechanics and service technicians,48.0,53.5,5.5,11.4,"49,210",High school diploma or equivalent
"  Mobile heavy equipment mechanics, except engines",191.1,207.3,16.2,8.5,"61,900",High school diploma or equivalent
  Rail car repairers,20.2,21.1,0.9,4.4,"65,030",High school diploma or equivalent
  Motorboat mechanics and service technicians,26.1,27.8,1.8,6.7,"49,990",High school diploma or equivalent
  Motorcycle mechanics,16.0,16.4,0.4,2.5,"46,270",Postsecondary nondegree award
  Outdoor power equipment and other small engine mechanics,40.0,41.2,1.2,2.9,"44,140",High school diploma or equivalent
  Bicycle repairers,14.5,15.3,0.8,5.6,"38,320",High school diploma or equivalent
  Recreational vehicle service technicians,18.4,20.2,1.8,9.9,"47,950",High school diploma or equivalent
  Tire repairers and changers,107.6,113.3,5.7,5.3,"35,790",High school diploma or equivalent
  Mechanical door repairers,27.7,30.9,3.2,11.4,"48,650",High school diploma or equivalent
"  Control and valve installers and repairers, except mechanical door",48.8,49.6,0.8,1.6,"70,100",High school diploma or equivalent
"  Heating, air conditioning, and refrigeration mechanics and installers",441.2,481.3,40.1,9.1,"57,300",Postsecondary nondegree award
  Home appliance repairers,37.5,37.8,0.3,0.8,"47,170",High school diploma or equivalent
  Industrial machinery mechanics,429.5,503.3,73.8,17.2,"61,420",High school diploma or equivalent
"  Maintenance workers, machinery",59.0,63.6,4.6,7.8,"57,350",High school diploma or equivalent
  Millwrights,42.3,44.3,2.0,4.8,"62,980",High school diploma or equivalent
"  Refractory materials repairers, except brickmasons",0.6,0.5,-0.1,-17.8,"48,410",High school diploma or equivalent
  Electrical power-line installers and repairers,123.4,132.8,9.4,7.6,"85,420",High school diploma or equivalent
  Telecommunications line installers and repairers,102.2,99.4,-2.8,-2.7,"64,640",High school diploma or equivalent
  Camera and photographic equipment repairers,2.6,2.2,-0.4,-16.9,"46,850",High school diploma or equivalent
  Medical equipment repairers,67.0,79.3,12.3,18.4,"60,670",Associate's degree
  Musical instrument repairers and tuners,6.3,6.4,0.1,1.5,"42,800",High school diploma or equivalent
  Watch and clock repairers,1.9,1.9,0.0,0.0,"58,140",High school diploma or equivalent
"  Precision instrument and equipment repairers, all other[2]",10.9,11.2,0.4,3.5,"62,040",High school diploma or equivalent
"  Maintenance and repair workers, general","1,616.5","1,698.3",81.8,5.1,"46,700",High school diploma or equivalent
  Wind turbine service technicians,11.4,18.2,6.8,60.1,"61,770",Postsecondary nondegree award
"  Coin, vending, and amusement machine servicers and repairers",39.3,39.2,-0.1,-0.4,"44,980",High school diploma or equivalent
  Commercial divers,3.2,3.5,0.3,8.3,"61,300",Postsecondary nondegree award
  Locksmiths and safe repairers,17.6,15.8,-1.7,-9.9,"48,380",High school diploma or equivalent
  Manufactured building and mobile home installers,3.3,2.7,-0.6,-19.6,"38,980",High school diploma or equivalent
  Riggers,24.2,25.4,1.2,4.9,"56,220",High school diploma or equivalent
  Signal and track switch repairers,9.3,9.5,0.2,2.3,"82,710",High school diploma or equivalent
"  Helpers--installation, maintenance, and repair workers",104.6,109.2,4.6,4.4,"36,710",High school diploma or equivalent
"  Installation, maintenance, and repair workers, all other[2]",201.5,208.7,7.2,3.6,"46,500",High school diploma or equivalent
  First-line supervisors of production and operating workers,690.9,695.1,4.2,0.6,"65,930",High school diploma or equivalent
"  Aircraft structure, surfaces, rigging, and systems assemblers",31.4,26.3,-5.2,-16.4,"61,240",High school diploma or equivalent
"  Coil winders, tapers, and finishers",12.1,10.9,-1.1,-9.3,"44,890",High school diploma or equivalent
"  Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",271.1,290.6,19.5,7.2,"40,490",High school diploma or equivalent
  Engine and other machine assemblers,49.0,38.6,-10.4,-21.3,"50,270",High school diploma or equivalent
  Structural metal fabricators and fitters,59.3,50.3,-9.1,-15.3,"48,480",High school diploma or equivalent
  Fiberglass laminators and fabricators,20.9,21.8,1.0,4.6,"40,200",High school diploma or equivalent
  Timing device assemblers and adjusters,0.4,0.3,-0.1,-16.3,"48,840",High school diploma or equivalent
  Miscellaneous assemblers and fabricators[2],"1,520.8","1,527.9",7.0,0.5,"38,920",High school diploma or equivalent
  Bakers,243.4,256.1,12.7,5.2,"34,950",No formal educational credential
  Butchers and meat cutters,139.1,136.2,-2.9,-2.1,"37,650",No formal educational credential
"  Meat, poultry, and fish cutters and trimmers",141.1,147.7,6.6,4.7,"36,300",No formal educational credential
  Slaughterers and meat packers,72.8,73.8,1.0,1.4,"38,160",No formal educational credential
"  Food and tobacco roasting, baking, and drying machine operators and tenders",19.6,20.0,0.4,2.2,"39,850",No formal educational credential
  Food batchmakers,171.3,186.8,15.5,9.1,"38,460",High school diploma or equivalent
  Food cooking machine operators and tenders,30.7,31.1,0.3,1.0,"38,550",High school diploma or equivalent
"  Food processing workers, all other[2]",66.8,69.7,2.9,4.4,"36,890",No formal educational credential
"  Extruding and drawing machine setters, operators, and tenders, metal and plastic",64.1,65.3,1.3,2.0,"44,390",High school diploma or equivalent
"  Forging machine setters, operators, and tenders, metal and plastic",9.3,7.9,-1.5,-15.7,"46,990",High school diploma or equivalent
"  Rolling machine setters, operators, and tenders, metal and plastic",25.0,23.1,-1.9,-7.7,"47,040",High school diploma or equivalent
"  Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",181.3,161.0,-20.3,-11.2,"42,400",High school diploma or equivalent
"  Drilling and boring machine tool setters, operators, and tenders, metal and plastic",5.8,4.7,-1.1,-19.2,"44,620",High school diploma or equivalent
"  Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",76.3,68.1,-8.2,-10.7,"42,610",High school diploma or equivalent
"  Lathe and turning machine tool setters, operators, and tenders, metal and plastic",19.7,17.5,-2.3,-11.4,"47,110",High school diploma or equivalent
"  Milling and planing machine setters, operators, and tenders, metal and plastic",14.1,12.3,-1.8,-12.9,"47,200",High school diploma or equivalent
  Machinists,298.0,303.0,5.0,1.7,"50,840",High school diploma or equivalent
  Metal-refining furnace operators and tenders,21.4,20.4,-1.0,-4.8,"50,250",High school diploma or equivalent
"  Pourers and casters, metal",5.6,5.2,-0.4,-6.7,"48,690",High school diploma or equivalent
"  Model makers, metal and plastic",2.9,2.4,-0.5,-17.6,"64,190",High school diploma or equivalent
"  Patternmakers, metal and plastic",2.2,1.7,-0.5,-22.2,"49,670",High school diploma or equivalent
  Foundry mold and coremakers,11.8,8.9,-2.9,-24.6,"44,300",High school diploma or equivalent
"  Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",158.8,154.9,-3.9,-2.5,"38,870",High school diploma or equivalent
"  Multiple machine tool setters, operators, and tenders, metal and plastic",130.0,132.3,2.3,1.8,"41,600",High school diploma or equivalent
  Tool and die makers,59.1,53.3,-5.8,-9.7,"61,490",Postsecondary nondegree award
"  Welders, cutters, solderers, and brazers",454.5,463.8,9.3,2.0,"48,940",High school diploma or equivalent
"  Welding, soldering, and brazing machine setters, operators, and tenders",35.6,32.5,-3.2,-8.9,"45,350",High school diploma or equivalent
"  Heat treating equipment setters, operators, and tenders, metal and plastic",15.2,13.8,-1.4,-9.5,"44,240",High school diploma or equivalent
"  Layout workers, metal and plastic",6.9,6.7,-0.2,-3.5,"62,270",High school diploma or equivalent
"  Plating machine setters, operators, and tenders, metal and plastic",32.4,28.8,-3.6,-11.1,"39,740",High school diploma or equivalent
"  Tool grinders, filers, and sharpeners",6.8,6.3,-0.5,-7.8,"46,410",High school diploma or equivalent
"  Metal workers and plastic workers, all other[2]",20.7,19.2,-1.4,-6.9,"41,200",High school diploma or equivalent
  Prepress technicians and workers,23.3,19.0,-4.3,-18.5,"45,070",Postsecondary nondegree award
  Printing press operators,156.2,141.3,-14.9,-9.5,"41,860",High school diploma or equivalent
  Print binding and finishing workers,38.1,31.4,-6.7,-17.5,"38,100",High school diploma or equivalent
  Laundry and dry-cleaning workers,195.4,206.2,10.8,5.5,"31,050",No formal educational credential
"  Pressers, textile, garment, and related materials",29.3,25.8,-3.5,-12.0,"32,240",No formal educational credential
  Sewing machine operators,128.7,111.8,-17.0,-13.2,"34,440",No formal educational credential
  Shoe and leather workers and repairers,9.4,8.3,-1.1,-11.9,"36,020",High school diploma or equivalent
  Shoe machine operators and tenders,6.1,5.2,-0.8,-13.6,"36,970",High school diploma or equivalent
"  Sewers, hand",5.6,4.9,-0.7,-12.2,"32,240",No formal educational credential
"  Tailors, dressmakers, and custom sewers",24.6,23.0,-1.6,-6.5,"36,650",No formal educational credential
  Textile bleaching and dyeing machine operators and tenders,6.9,6.1,-0.7,-10.3,"35,340",High school diploma or equivalent
"  Textile cutting machine setters, operators, and tenders",9.9,8.7,-1.2,-11.7,"36,620",High school diploma or equivalent
"  Textile knitting and weaving machine setters, operators, and tenders",16.4,14.4,-1.9,-11.8,"37,130",High school diploma or equivalent
"  Textile winding, twisting, and drawing out machine setters, operators, and tenders",24.1,22.0,-2.1,-8.8,"35,530",High school diploma or equivalent
"  Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",15.1,14.7,-0.5,-3.1,"44,030",High school diploma or equivalent
  Fabric and apparel patternmakers,2.7,2.4,-0.3,-11.7,"62,510",High school diploma or equivalent
  Upholsterers,30.7,30.1,-0.6,-2.0,"42,730",High school diploma or equivalent
"  Textile, apparel, and furnishings workers, all other[2]",15.6,14.1,-1.5,-9.5,"35,130",High school diploma or equivalent
  Cabinetmakers and bench carpenters,99.7,97.0,-2.7,-2.7,"43,260",High school diploma or equivalent
  Furniture finishers,18.2,17.9,-0.3,-1.6,"39,790",High school diploma or equivalent
"  Model makers, wood",1.1,1.0,-0.1,-12.8,"45,040",High school diploma or equivalent
"  Patternmakers, wood",0.5,0.4,-0.1,-13.5,"48,630",High school diploma or equivalent
"  Sawing machine setters, operators, and tenders, wood",45.6,45.3,-0.2,-0.5,"38,000",High school diploma or equivalent
"  Woodworking machine setters, operators, and tenders, except sawing",60.6,59.3,-1.3,-2.2,"38,260",High school diploma or equivalent
"  Woodworkers, all other[2]",15.1,13.1,-2.0,-13.5,"37,760",High school diploma or equivalent
  Nuclear power reactor operators,5.8,5.2,-0.6,-10.3,"120,350",High school diploma or equivalent
  Power distributors and dispatchers,9.2,9.1,-0.1,-1.4,"104,750",High school diploma or equivalent
  Power plant operators,32.4,29.3,-3.1,-9.4,"97,010",High school diploma or equivalent
  Stationary engineers and boiler operators,35.5,36.9,1.4,4.1,"67,640",High school diploma or equivalent
  Water and wastewater treatment plant and system operators,124.7,117.2,-7.5,-6.0,"54,890",High school diploma or equivalent
  Chemical plant and system operators,18.4,18.2,-0.1,-0.8,"80,030",High school diploma or equivalent
  Gas plant operators,16.1,14.6,-1.6,-9.8,"82,560",High school diploma or equivalent
"  Petroleum pump system operators, refinery operators, and gaugers",33.6,32.8,-0.8,-2.3,"94,580",High school diploma or equivalent
"  Plant and system operators, all other[2]",15.8,16.3,0.5,3.2,"56,940",High school diploma or equivalent
  Chemical equipment operators and tenders,121.9,115.4,-6.5,-5.4,"51,720",High school diploma or equivalent
"  Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",53.4,54.3,0.9,1.7,"48,120",High school diploma or equivalent
"  Crushing, grinding, and polishing machine setters, operators, and tenders",26.5,26.3,-0.3,-1.0,"44,510",High school diploma or equivalent
"  Grinding and polishing workers, hand",12.5,10.3,-2.2,-17.8,"38,940",No formal educational credential
"  Mixing and blending machine setters, operators, and tenders",107.8,112.4,4.7,4.3,"46,100",High school diploma or equivalent
"  Cutters and trimmers, hand",6.9,5.6,-1.3,-18.4,"37,040",No formal educational credential
"  Cutting and slicing machine setters, operators, and tenders",52.5,51.1,-1.4,-2.7,"44,310",High school diploma or equivalent
"  Extruding, forming, pressing, and compacting machine setters, operators, and tenders",57.2,58.7,1.6,2.7,"42,670",High school diploma or equivalent
"  Furnace, kiln, oven, drier, and kettle operators and tenders",15.2,15.5,0.3,2.0,"45,640",High school diploma or equivalent
"  Inspectors, testers, sorters, samplers, and weighers",595.5,577.7,-17.8,-3.0,"45,850",High school diploma or equivalent
  Jewelers and precious stone and metal workers,46.2,44.5,-1.7,-3.7,"47,450",High school diploma or equivalent
  Dental laboratory technicians,35.1,33.7,-1.5,-4.2,"47,690",High school diploma or equivalent
  Medical appliance technicians,13.0,13.5,0.5,3.9,"44,960",High school diploma or equivalent
  Ophthalmic laboratory technicians,18.9,19.2,0.3,1.6,"37,720",High school diploma or equivalent
  Packaging and filling machine operators and tenders,367.9,392.5,24.6,6.7,"38,330",High school diploma or equivalent
"  Painting, coating, and decorating workers",11.4,11.6,0.2,1.5,"40,230",No formal educational credential
"  Coating, painting, and spraying machine setters, operators, and tenders",167.9,169.9,2.0,1.2,"45,560",High school diploma or equivalent
  Semiconductor processing technicians,26.6,30.1,3.4,13.0,"45,850",High school diploma or equivalent
  Photographic process workers and processing machine operators,9.2,9.4,0.1,1.5,"35,620",High school diploma or equivalent
  Computer numerically controlled tool operators,189.9,172.4,-17.5,-9.2,"48,550",High school diploma or equivalent
  Computer numerically controlled tool programmers,28.3,32.5,4.2,14.9,"63,440",Postsecondary nondegree award
  Adhesive bonding machine operators and tenders,12.5,12.4,-0.1,-0.5,"43,540",High school diploma or equivalent
"  Cleaning, washing, and metal pickling equipment operators and tenders",15.8,16.6,0.7,4.5,"39,340",High school diploma or equivalent
  Cooling and freezing equipment operators and tenders,7.1,7.8,0.7,9.4,"42,420",High school diploma or equivalent
  Etchers and engravers,11.7,11.9,0.3,2.3,"40,040",High school diploma or equivalent
"  Molders, shapers, and casters, except metal and plastic",49.2,51.8,2.6,5.3,"43,310",High school diploma or equivalent
"  Paper goods machine setters, operators, and tenders",95.2,83.3,-11.9,-12.5,"47,250",High school diploma or equivalent
  Tire builders,20.7,21.3,0.6,3.1,"54,080",High school diploma or equivalent
  Helpers--production workers,183.5,168.4,-15.2,-8.3,"36,700",High school diploma or equivalent
"  Production workers, all other[2]",265.1,270.1,5.0,1.9,"37,430",High school diploma or equivalent
  Aircraft cargo handling supervisors,9.1,9.7,0.7,7.7,"58,920",High school diploma or equivalent
"  First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors[2]",594.1,625.6,31.5,5.3,"60,510",High school diploma or equivalent
"  Airline pilots, copilots, and flight engineers",96.3,101.1,4.8,5.0,"219,140",Bachelor's degree
  Commercial pilots,56.5,59.7,3.2,5.7,"113,080",Postsecondary nondegree award
  Air traffic controllers,24.0,24.7,0.7,2.9,"137,380",Associate's degree
  Airfield operations specialists,18.7,19.7,1.0,5.3,"51,140",High school diploma or equivalent
  Flight attendants,130.3,143.2,12.9,9.9,"68,370",High school diploma or equivalent
"  Ambulance drivers and attendants, except emergency medical technicians",11.6,11.6,0.0,-0.1,"32,580",High school diploma or equivalent
  Driver/sales workers,503.2,549.3,46.1,9.2,"35,420",High school diploma or equivalent
  Heavy and tractor-trailer truck drivers,"2,211.3","2,313.4",102.0,4.6,"54,320",Postsecondary nondegree award
  Light truck drivers,"1,092.6","1,188.9",96.3,8.8,"42,470",High school diploma or equivalent
"  Bus drivers, school[2]",365.3,368.9,3.6,1.0,"45,660",High school diploma or equivalent
"  Bus drivers, transit and intercity",194.1,204.1,10.1,5.2,"60,170",High school diploma or equivalent
  Shuttle drivers and chauffeurs[2],222.3,241.3,19.0,8.5,"35,240",No formal educational credential
  Taxi drivers[2],171.1,193.8,22.7,13.3,"34,680",No formal educational credential
"  Motor vehicle operators, all other[2]",86.5,93.6,7.1,8.3,"35,690",No formal educational credential
  Locomotive engineers,27.5,27.9,0.4,1.3,"74,770",High school diploma or equivalent
"  Rail yard engineers, dinkey operators, and hostlers",2.4,2.4,0.0,0.5,"57,070",High school diploma or equivalent
"  Railroad brake, signal, and switch operators and locomotive firers",12.0,12.1,0.2,1.5,"63,540",High school diploma or equivalent
  Railroad conductors and yardmasters,41.1,41.9,0.8,1.9,"71,130",High school diploma or equivalent
  Subway and streetcar operators,15.4,16.0,0.7,4.2,"84,270",High school diploma or equivalent
"  Rail transportation workers, all other[2]",1.9,2.0,0.1,3.5,"44,660",High school diploma or equivalent
  Sailors and marine oilers,32.1,33.2,1.1,3.5,"48,400",No formal educational credential
"  Captains, mates, and pilots of water vessels",40.2,41.2,0.9,2.3,"88,730",Postsecondary nondegree award
  Motorboat operators,3.1,3.2,0.1,3.4,"46,420",Postsecondary nondegree award
  Ship engineers,9.5,9.8,0.3,3.4,"94,270",Postsecondary nondegree award
  Bridge and lock tenders,3.6,3.6,0.0,0.5,"49,120",High school diploma or equivalent
  Parking attendants,120.9,127.3,6.4,5.3,"32,840",No formal educational credential
  Automotive and watercraft service attendants,94.6,94.5,-0.1,-0.1,"33,820",No formal educational credential
  Aircraft service attendants[2],25.2,26.7,1.6,6.2,"39,110",High school diploma or equivalent
  Traffic technicians,7.8,8.2,0.3,4.2,"52,240",High school diploma or equivalent
  Transportation inspectors,29.7,30.8,1.2,3.9,"87,290",High school diploma or equivalent
  Passenger attendants,21.6,22.9,1.3,5.8,"35,620",High school diploma or equivalent
"  Transportation workers, all other[2]",11.3,11.9,0.6,5.3,"40,300",High school diploma or equivalent
  Conveyor operators and tenders,30.4,30.1,-0.3,-0.9,"39,260",No formal educational credential
  Crane and tower operators,42.6,44.2,1.6,3.7,"64,690",High school diploma or equivalent
  Dredge operators,1.2,1.2,0.0,2.1,"50,440",High school diploma or equivalent
  Hoist and winch operators,2.7,2.7,0.0,-0.5,"55,950",No formal educational credential
  Industrial truck and tractor operators,770.8,791.9,21.2,2.7,"44,470",No formal educational credential
  Cleaners of vehicles and equipment,402.7,420.6,17.8,4.4,"34,150",No formal educational credential
"  Laborers and freight, stock, and material movers, hand","3,004.8","3,130.6",125.7,4.2,"37,660",No formal educational credential
  Machine feeders and offbearers,43.8,38.2,-5.6,-12.7,"39,250",No formal educational credential
"  Packers and packagers, hand",641.3,614.3,-26.9,-4.2,"34,830",No formal educational credential
  Stockers and order fillers,"2,864.7","3,033.3",168.6,5.9,"36,390",High school diploma or equivalent
  Gas compressor and gas pumping station operators,4.5,4.5,0.1,1.2,"61,870",High school diploma or equivalent
"  Pump operators, except wellhead pumpers",11.7,12.3,0.6,5.0,"54,690",High school diploma or equivalent
  Wellhead pumpers,19.4,19.0,-0.4,-2.0,"71,830",High school diploma or equivalent
  Refuse and recyclable material collectors,148.4,151.9,3.5,2.3,"45,760",No formal educational credential
"  Tank car, truck, and ship loaders",12.7,13.2,0.5,3.9,"58,620",No formal educational credential
"  Material moving workers, all other[2]",26.5,27.6,1.2,4.4,"40,310",No formal educational credential
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,